eBird/Clements Name,Macaulay Audio Total,GenBank species,GB_Nucleotide_Seqs
Heliothryx barroti,8,Heliothryx barroti,10
Hellmayrea gularis,78,Hellmayrea gularis,14
Helmitheros vermivorum,1130,Helmitheros vermivorum,25
Hemicircus canente,35,Hemicircus canente,16
Hemicircus concretus,11,Hemicircus concretus,1
Hemignathus affinis,0,Hemignathus affinis,0
Hemignathus hanapepe,0,Hemignathus hanapepe,0
Hemignathus lucidus,0,Hemignathus lucidus,0
Hemignathus wilsoni,38,Hemignathus wilsoni,44
Hemimacronyx chloris,10,Hemimacronyx chloris,0
Hemimacronyx sharpei,1,Hemimacronyx sharpei,0
Hemiphaga chathamensis,0,Hemiphaga chathamensis,13
Hemiphaga novaeseelandiae,10,Hemiphaga novaeseelandiae,103
Hemiprocne comata,14,Hemiprocne comata,11
Hemiprocne coronata,32,Hemiprocne coronata,0
Hemiprocne longipennis,17,Hemiprocne longipennis,9
Hemiprocne mystacea,13,Hemiprocne mystacea,43
Hemipus hirundinaceus,13,Hemipus hirundinaceus,7
Hemipus picatus,33,Hemipus picatus,14
Hemithraupis flavicollis,40,Hemithraupis flavicollis,32
Hemithraupis guira,109,Hemithraupis guira,5
Hemithraupis ruficapilla,38,Hemithraupis ruficapilla,2
Hemitriccus cinnamomeipectus,14,Hemitriccus cinnamomeipectus,0
Hemitriccus cohnhafti,12,Hemitriccus cohnhafti,3
Hemitriccus diops,84,Hemitriccus diops,12
Hemitriccus flammulatus,83,Hemitriccus flammulatus,1
Hemitriccus furcatus,36,Hemitriccus furcatus,0
Hemitriccus granadensis,82,Hemitriccus granadensis,2
Hemitriccus griseipectus,124,Hemitriccus griseipectus,1
Hemitriccus inornatus,11,Hemitriccus inornatus,0
Hemitriccus iohannis,50,Hemitriccus iohannis,2
Hemitriccus josephinae,18,Hemitriccus josephinae,5
Hemitriccus kaempferi,7,Hemitriccus kaempferi,0
Hemitriccus margaritaceiventer,227,Hemitriccus margaritaceiventer,32
Hemitriccus minimus,69,Hemitriccus minimus,1
Hemitriccus minor,93,Hemitriccus minor,16
Hemitriccus mirandae,7,Hemitriccus mirandae,0
Hemitriccus nidipendulus,38,Hemitriccus nidipendulus,2
Hemitriccus obsoletus,49,Hemitriccus obsoletus,1
Hemitriccus orbitatus,45,Hemitriccus orbitatus,1
Hemitriccus rufigularis,29,Hemitriccus rufigularis,0
Hemitriccus spodiops,23,Hemitriccus spodiops,0
Hemitriccus striaticollis,77,Hemitriccus striaticollis,3
Hemitriccus zosterops,132,Hemitriccus zosterops,15
Hemixos castanonotus,70,Hemixos castanonotus,22
Hemixos cinereus,3,Hemixos cinereus,13
Hemixos flavala,53,Hemixos flavala,21
Henicopernis infuscatus,0,Henicopernis infuscatus,1
Henicopernis longicauda,0,Henicopernis longicauda,2
Henicophaps albifrons,1,Henicophaps albifrons,8
Henicophaps foersteri,0,Henicophaps foersteri,0
Henicorhina anachoreta,28,Henicorhina anachoreta,0
Henicorhina leucophrys,1315,Henicorhina leucophrys,346
Henicorhina leucoptera,74,Henicorhina leucoptera,7
Henicorhina leucosticta,819,Henicorhina leucosticta,161
Henicorhina negreti,54,Henicorhina negreti,4
Herpetotheres cachinnans,458,Herpetotheres cachinnans,100
Herpsilochmus atricapillus,118,Herpsilochmus atricapillus,12
Herpsilochmus axillaris,64,Herpsilochmus axillaris,6
Herpsilochmus dorsimaculatus,91,Herpsilochmus dorsimaculatus,4
Herpsilochmus dugandi,26,Herpsilochmus dugandi,0
Herpsilochmus gentryi,19,Herpsilochmus gentryi,0
Herpsilochmus longirostris,52,Herpsilochmus longirostris,5
Herpsilochmus motacilloides,20,Herpsilochmus motacilloides,7
Herpsilochmus parkeri,26,Herpsilochmus parkeri,9
Herpsilochmus pectoralis,13,Herpsilochmus pectoralis,0
Herpsilochmus pileatus,27,Herpsilochmus pileatus,3
Herpsilochmus praedictus,4,Herpsilochmus praedictus,3
Herpsilochmus roraimae,26,Herpsilochmus roraimae,3
Herpsilochmus rufimarginatus,277,Herpsilochmus rufimarginatus,14
Herpsilochmus sellowi,26,Herpsilochmus sellowi,3
Herpsilochmus stictocephalus,48,Herpsilochmus stictocephalus,7
Herpsilochmus sticturus,48,Herpsilochmus sticturus,9
Herpsilochmus stotzi,3,Herpsilochmus stotzi,14
Heteralocha acutirostris,0,Heteralocha acutirostris,30
Heterocercus aurantiivertex,12,Heterocercus aurantiivertex,0
Heterocercus flavivertex,31,Heterocercus flavivertex,2
Heterocercus linteatus,14,Heterocercus linteatus,19
Heteromirafra archeri,6,Heteromirafra archeri,7
Heteromirafra ruddi,6,Heteromirafra ruddi,7
Heteromunia pectoralis,0,Heteromunia pectoralis,2
Heteromyias albispecularis,34,Heteromyias albispecularis,29
Heteromyias cinereifrons,29,Heteromyias cinereifrons,0
Heteronetta atricapilla,1,Heteronetta atricapilla,4
Heterophasia auricularis,57,Heterophasia auricularis,14
Heterophasia capistrata,90,Heterophasia capistrata,24
Heterophasia desgodinsi,23,Heterophasia desgodinsi,15
Heterophasia gracilis,25,Heterophasia gracilis,12
Heterophasia melanoleuca,18,Heterophasia melanoleuca,21
Heterophasia picaoides,35,Heterophasia picaoides,26
Heterophasia pulchella,57,Heterophasia pulchella,22
Heterospingus rubrifrons,8,Heterospingus rubrifrons,4
Heterospingus xanthopygius,15,Heterospingus xanthopygius,7
Hieraaetus ayresii,1,Hieraaetus ayresii,11
Hieraaetus morphnoides,8,Hieraaetus morphnoides,13
Hieraaetus pennatus,63,Hieraaetus pennatus,23
Hieraaetus wahlbergi,1,Hieraaetus wahlbergi,11
Hieraaetus weiskei,1,Hieraaetus weiskei,3
Hierococcyx bocki,17,Hierococcyx bocki,0
Hierococcyx fugax,11,Hierococcyx fugax,5
Hierococcyx hyperythrus,10,Hierococcyx hyperythrus,3
Hierococcyx nisicolor,23,Hierococcyx nisicolor,2
Hierococcyx pectoralis,9,Hierococcyx pectoralis,0
Hierococcyx sparverioides,134,Hierococcyx sparverioides,13
Hierococcyx vagans,22,Hierococcyx vagans,2
Hierococcyx varius,459,Hierococcyx varius,9
Himantopus himantopus,393,Himantopus himantopus,30
Himantopus leucocephalus,50,Himantopus leucocephalus,7
Himantopus mexicanus,708,Himantopus mexicanus,38
Himantopus novaezelandiae,7,Himantopus novaezelandiae,17
Himantornis haematopus,10,Himantornis haematopus,27
Himatione fraithii,0,Himatione fraithii,0
Himatione sanguinea,159,Himatione sanguinea,48
Hippolais icterina,172,Hippolais icterina,88
Hippolais languida,16,Hippolais languida,18
Hippolais olivetorum,19,Hippolais olivetorum,20
Hippolais polyglotta,256,Hippolais polyglotta,23
Hirundapus caudacutus,1,Hirundapus caudacutus,19
Hirundapus celebensis,0,Hirundapus celebensis,0
Hirundapus cochinchinensis,1,Hirundapus cochinchinensis,0
Hirundapus giganteus,3,Hirundapus giganteus,0
Hirundinea ferruginea,85,Hirundinea ferruginea,18
Hirundo aethiopica,6,Hirundo aethiopica,28
Hirundo albigularis,6,Hirundo albigularis,18
Hirundo angolensis,10,Hirundo angolensis,15
Hirundo atrocaerulea,3,Hirundo atrocaerulea,9
Hirundo dimidiata,1,Hirundo dimidiata,19
Hirundo domicola,8,Hirundo domicola,0
Hirundo leucosoma,0,Hirundo leucosoma,2
Hirundo lucida,7,Hirundo lucida,2
Hirundo megaensis,4,Hirundo megaensis,2
Hirundo neoxena,77,Hirundo neoxena,22
Hirundo nigrita,0,Hirundo nigrita,18
Hirundo nigrorufa,6,Hirundo nigrorufa,2
Hirundo rustica,983,Hirundo rustica,1120
Hirundo smithii,25,Hirundo smithii,23
Hirundo tahitica,33,Hirundo tahitica,26
Histrionicus histrionicus,27,Histrionicus histrionicus,29
Histurgops ruficauda,7,Histurgops ruficauda,1
Horizocerus albocristatus,11,Horizocerus albocristatus,5
Horizocerus hartlaubi,1,Horizocerus hartlaubi,4
Horornis acanthizoides,65,Horornis acanthizoides,25
Horornis annae,16,Horornis annae,2
Horornis brunnescens,26,Horornis brunnescens,7
Horornis canturians,173,Horornis canturians,6
Horornis carolinae,2,Horornis carolinae,4
Horornis diphone,149,Horornis diphone,112
Horornis flavolivaceus,45,Horornis flavolivaceus,34
Horornis fortipes,216,Horornis fortipes,1903
Horornis haddeni,0,Horornis haddeni,2
Horornis parens,20,Horornis parens,8
Horornis ruficapilla,40,Horornis ruficapilla,2
Horornis seebohmi,16,Horornis seebohmi,7
Horornis vulcanius,69,Horornis vulcanius,24
Houbaropsis bengalensis,0,Houbaropsis bengalensis,0
Humblotia flavirostris,0,Humblotia flavirostris,1
Hydrobates pelagicus,17,Hydrobates pelagicus,46
Hydrochous gigas,0,Hydrochous gigas,9
Hydrocoloeus minutus,14,Hydrocoloeus minutus,14
Hydrophasianus chirurgus,47,Hydrophasianus chirurgus,9
Hydroprogne caspia,398,Hydroprogne caspia,25
Hydropsalis cayennensis,45,Hydropsalis cayennensis,7
Hydropsalis climacocerca,18,Hydropsalis climacocerca,7
Hydropsalis maculicaudus,60,Hydropsalis maculicaudus,11
Hydropsalis torquata,27,Hydropsalis torquata,10
Hydrornis baudii,18,Hydrornis baudii,14
Hydrornis caeruleus,12,Hydrornis caeruleus,6
Hydrornis cyaneus,20,Hydrornis cyaneus,3
Hydrornis elliotii,14,Hydrornis elliotii,4
Hydrornis guajanus,15,Hydrornis guajanus,1626
Hydrornis gurneyi,6,Hydrornis gurneyi,3
Hydrornis irena,29,Hydrornis irena,0
Hydrornis nipalensis,18,Hydrornis nipalensis,8
Hydrornis oatesi,18,Hydrornis oatesi,6
Hydrornis phayrei,9,Hydrornis phayrei,3
Hydrornis schneideri,1,Hydrornis schneideri,0
Hydrornis schwaneri,13,Hydrornis schwaneri,0
Hydrornis soror,3,Hydrornis soror,6
Hylacola cauta,7,Hylacola cauta,4
Hylacola pyrrhopygia,13,Hylacola pyrrhopygia,6
Hylexetastes perrotii,41,Hylexetastes perrotii,229
Hylexetastes stresemanni,12,Hylexetastes stresemanni,62
Hylia prasina,39,Hylia prasina,101
Hyliota australis,2,Hyliota australis,0
Hyliota flavigaster,5,Hyliota flavigaster,8
Hyliota usambara,1,Hyliota usambara,0
Hyliota violacea,0,Hyliota violacea,0
Hylocharis chrysura,85,Hylocharis chrysura,21
Hylocharis cyanus,111,Hylocharis cyanus,18
Hylocharis eliciae,59,Hylocharis eliciae,11
Hylocharis grayi,9,Hylocharis grayi,2
Hylocharis humboldtii,2,Hylocharis humboldtii,0
Hylocharis leucotis,110,Hylocharis leucotis,87
Hylocharis sapphirina,15,Hylocharis sapphirina,14
Hylocharis xantusii,8,Hylocharis xantusii,30
Hylocichla mustelina,4073,Hylocichla mustelina,53
Hylocitrea bonensis,9,Hylocitrea bonensis,7
Hylomanes momotula,74,Hylomanes momotula,8
Hylonympha macrocerca,6,Hylonympha macrocerca,0
Hylopezus auricularis,5,Hylopezus auricularis,20
Hylopezus berlepschi,82,Hylopezus berlepschi,73
Hylopezus dives,116,Hylopezus dives,24
Hylopezus fulviventris,30,Hylopezus fulviventris,32
Hylopezus macularius,60,Hylopezus macularius,84
Hylopezus nattereri,86,Hylopezus nattereri,15
Hylopezus ochroleucus,36,Hylopezus ochroleucus,41
Hylopezus paraensis,14,Hylopezus paraensis,23
Hylopezus perspicillatus,123,Hylopezus perspicillatus,9
Hylopezus whittakeri,28,Hylopezus whittakeri,56
Hylophilus amaurocephalus,48,Hylophilus amaurocephalus,0
Hylophilus brunneiceps,35,Hylophilus brunneiceps,4
Hylophilus flavipes,164,Hylophilus flavipes,4
Hylophilus olivaceus,51,Hylophilus olivaceus,2
Hylophilus pectoralis,73,Hylophilus pectoralis,11
Hylophilus poicilotis,84,Hylophilus poicilotis,6
Hylophilus semicinereus,79,Hylophilus semicinereus,3
Hylophilus thoracicus,136,Hylophilus thoracicus,11
Hylophylax naevioides,76,Hylophylax naevioides,18
Hylophylax naevius,215,Hylophylax naevius,213
Hylophylax punctulatus,71,Hylophylax punctulatus,13
Hylopsar cupreocauda,1,Hylopsar cupreocauda,1
Hylopsar purpureiceps,9,Hylopsar purpureiceps,4
Hylorchilus navai,29,Hylorchilus navai,0
Hylorchilus sumichrasti,54,Hylorchilus sumichrasti,6
Hymenolaimus malacorhynchos,7,Hymenolaimus malacorhynchos,42
Hymenops perspicillatus,25,Hymenops perspicillatus,25
Hypargos margaritatus,8,Hypargos margaritatus,2
Hypargos niveoguttatus,9,Hypargos niveoguttatus,5
Hypergerus atriceps,27,Hypergerus atriceps,14
Hypnelus ruficollis,42,Hypnelus ruficollis,0
Hypocnemis cantator,115,Hypocnemis cantator,178
Hypocnemis flavescens,84,Hypocnemis flavescens,21
Hypocnemis hypoxantha,95,Hypocnemis hypoxantha,16
Hypocnemis ochrogyna,23,Hypocnemis ochrogyna,5
Hypocnemis peruviana,173,Hypocnemis peruviana,7
Hypocnemis rondoni,5,Hypocnemis rondoni,4
Hypocnemis striata,86,Hypocnemis striata,24
Hypocnemis subflava,73,Hypocnemis subflava,0
Hypocnemoides maculicauda,62,Hypocnemoides maculicauda,10
Hypocnemoides melanopogon,125,Hypocnemoides melanopogon,3
Hypocolius ampelinus,12,Hypocolius ampelinus,3
Hypocryptadius cinnamomeus,1,Hypocryptadius cinnamomeus,16
Hypoedaleus guttatus,166,Hypoedaleus guttatus,11
Hypopyrrhus pyrohypogaster,143,Hypopyrrhus pyrohypogaster,4
Hypositta corallirostris,0,Hypositta corallirostris,15
Hypothymis azurea,293,Hypothymis azurea,111
Hypothymis coelestis,3,Hypothymis coelestis,20
Hypothymis helenae,8,Hypothymis helenae,23
Hypothymis puella,14,Hypothymis puella,4
Hypsipetes amaurotis,105,Hypsipetes amaurotis,130
Hypsipetes borbonicus,45,Hypsipetes borbonicus,3
Hypsipetes crassirostris,2,Hypsipetes crassirostris,6
Hypsipetes everetti,35,Hypsipetes everetti,12
Hypsipetes ganeesa,117,Hypsipetes ganeesa,0
Hypsipetes guimarasensis,2,Hypsipetes guimarasensis,0
Hypsipetes leucocephalus,206,Hypsipetes leucocephalus,88
Hypsipetes madagascariensis,52,Hypsipetes madagascariensis,38
Hypsipetes mindorensis,1,Hypsipetes mindorensis,0
Hypsipetes moheliensis,0,Hypsipetes moheliensis,7
Hypsipetes nicobariensis,3,Hypsipetes nicobariensis,0
Hypsipetes olivaceus,14,Hypsipetes olivaceus,3
Hypsipetes parvirostris,0,Hypsipetes parvirostris,3
Hypsipetes philippinus,47,Hypsipetes philippinus,130
Hypsipetes rufigularis,1,Hypsipetes rufigularis,5
Hypsipetes siquijorensis,3,Hypsipetes siquijorensis,4
Hypsipetes thompsoni,1,Hypsipetes thompsoni,3
Ianthocincla albogularis,54,Ianthocincla albogularis,28
Ianthocincla berthemyi,23,Ianthocincla berthemyi,8
Ianthocincla bieti,1,Ianthocincla bieti,5
Ianthocincla caerulata,16,Ianthocincla caerulata,13
Ianthocincla chinensis,87,Ianthocincla chinensis,310
Ianthocincla cineracea,2,Ianthocincla cineracea,32
Ianthocincla courtoisi,3,Ianthocincla courtoisi,30
Ianthocincla davidi,42,Ianthocincla davidi,20
Ianthocincla delesserti,30,Ianthocincla delesserti,51
Ianthocincla galbana,8,Ianthocincla galbana,7
Ianthocincla gularis,1,Ianthocincla gularis,10
Ianthocincla konkakinhensis,2,Ianthocincla konkakinhensis,0
Ianthocincla koslowi,6,Ianthocincla koslowi,5
Ianthocincla lanceolata,9,Ianthocincla lanceolata,26
Ianthocincla lunulata,4,Ianthocincla lunulata,17
Ianthocincla maxima,21,Ianthocincla maxima,14
Ianthocincla mitrata,37,Ianthocincla mitrata,18
Ianthocincla nuchalis,3,Ianthocincla nuchalis,19
Ianthocincla ocellata,47,Ianthocincla ocellata,36
Ianthocincla pectoralis,26,Ianthocincla pectoralis,36
Ianthocincla poecilorhyncha,37,Ianthocincla poecilorhyncha,54
Ianthocincla ruficeps,14,Ianthocincla ruficeps,8
Ianthocincla ruficollis,23,Ianthocincla ruficollis,11
Ianthocincla rufogularis,10,Ianthocincla rufogularis,12
Ianthocincla sannio,41,Ianthocincla sannio,36
Ianthocincla sukatschewi,2,Ianthocincla sukatschewi,12
Ianthocincla treacheri,29,Ianthocincla treacheri,10
Ianthocincla vassali,5,Ianthocincla vassali,8
Ianthocincla waddelli,13,Ianthocincla waddelli,5
Ianthocincla woodi,4,Ianthocincla woodi,3
Ibidorhyncha struthersii,13,Ibidorhyncha struthersii,5
Ibycter americanus,211,Ibycter americanus,23
Ichthyaetus audouinii,27,Ichthyaetus audouinii,17
Ichthyaetus hemprichii,2,Ichthyaetus hemprichii,10
Ichthyaetus ichthyaetus,6,Ichthyaetus ichthyaetus,12
Ichthyaetus leucophthalmus,4,Ichthyaetus leucophthalmus,2
Ichthyaetus melanocephalus,37,Ichthyaetus melanocephalus,14
Ichthyaetus relictus,5,Ichthyaetus relictus,18
Icteria virens,2605,Icteria virens,32
Icterus abeillei,21,Icterus abeillei,248
Icterus auratus,17,Icterus auratus,50
Icterus auricapillus,24,Icterus auricapillus,8
Icterus bonana,0,Icterus bonana,14
Icterus bullockii,523,Icterus bullockii,227
Icterus cayanensis,106,Icterus cayanensis,40
Icterus chrysater,332,Icterus chrysater,161
Icterus croconotus,46,Icterus croconotus,11
Icterus cucullatus,321,Icterus cucullatus,21
Icterus dominicensis,21,Icterus dominicensis,22
Icterus galbula,1676,Icterus galbula,329
Icterus graceannae,23,Icterus graceannae,9
Icterus graduacauda,99,Icterus graduacauda,191
Icterus gularis,134,Icterus gularis,135
Icterus icterus,49,Icterus icterus,10
Icterus jamacaii,29,Icterus jamacaii,3
Icterus laudabilis,7,Icterus laudabilis,20
Icterus leucopteryx,30,Icterus leucopteryx,56
Icterus maculialatus,7,Icterus maculialatus,8
Icterus melanopsis,15,Icterus melanopsis,2
Icterus mesomelas,108,Icterus mesomelas,30
Icterus nigrogularis,73,Icterus nigrogularis,94
Icterus northropi,8,Icterus northropi,44
Icterus oberi,1,Icterus oberi,15
Icterus parisorum,292,Icterus parisorum,44
Icterus pectoralis,92,Icterus pectoralis,13
Icterus portoricensis,18,Icterus portoricensis,2
Icterus prosthemelas,28,Icterus prosthemelas,10
Icterus pustulatus,139,Icterus pustulatus,221
Icterus pyrrhopterus,86,Icterus pyrrhopterus,20
Icterus spurius,1448,Icterus spurius,357
Icterus wagleri,50,Icterus wagleri,7
Ictinaetus malaiensis,16,Ictinaetus malaiensis,7
Ictinia mississippiensis,152,Ictinia mississippiensis,16
Ictinia plumbea,24,Ictinia plumbea,18
Idiopsar brachyurus,1,Idiopsar brachyurus,6
Idiopsar dorsalis,18,Idiopsar dorsalis,11
Idiopsar erythronotus,4,Idiopsar erythronotus,20
Idiopsar speculifer,16,Idiopsar speculifer,6
Iduna caligata,81,Iduna caligata,20
Iduna natalensis,28,Iduna natalensis,18
Iduna opaca,51,Iduna opaca,17
Iduna pallida,102,Iduna pallida,40
Iduna rama,93,Iduna rama,24
Iduna similis,26,Iduna similis,18
Ifrita kowaldi,16,Ifrita kowaldi,39
Ilicura militaris,40,Ilicura militaris,16
Illadopsis albipectus,18,Illadopsis albipectus,30
Illadopsis cleaveri,24,Illadopsis cleaveri,37
Illadopsis fulvescens,50,Illadopsis fulvescens,85
Illadopsis puveli,6,Illadopsis puveli,30
Illadopsis pyrrhoptera,10,Illadopsis pyrrhoptera,29
Illadopsis rufescens,10,Illadopsis rufescens,23
Illadopsis rufipennis,34,Illadopsis rufipennis,58
Illadopsis turdina,0,Illadopsis turdina,14
Incana incana,0,Incana incana,4
Incaspiza laeta,11,Incaspiza laeta,0
Incaspiza ortizi,19,Incaspiza ortizi,6
Incaspiza personata,13,Incaspiza personata,1
Incaspiza pulchra,12,Incaspiza pulchra,6
Incaspiza watkinsi,5,Incaspiza watkinsi,0
Indicator archipelagicus,15,Indicator archipelagicus,5
Indicator conirostris,3,Indicator conirostris,0
Indicator exilis,5,Indicator exilis,7
Indicator indicator,133,Indicator indicator,11
Indicator maculatus,2,Indicator maculatus,53
Indicator meliphilus,12,Indicator meliphilus,2
Indicator minor,73,Indicator minor,12
Indicator pumilio,2,Indicator pumilio,0
Indicator variegatus,144,Indicator variegatus,11
Indicator willcocksi,3,Indicator willcocksi,4
Indicator xanthonotus,3,Indicator xanthonotus,2
Inezia caudata,67,Inezia caudata,2
Inezia inornata,61,Inezia inornata,12
Inezia subflava,17,Inezia subflava,5
Inezia tenuirostris,27,Inezia tenuirostris,0
Iodopleura fusca,3,Iodopleura fusca,10
Iodopleura isabellae,25,Iodopleura isabellae,16
Iodopleura pipra,11,Iodopleura pipra,0
Iole cacharensis,1,Iole cacharensis,12
Iole charlottae,10,Iole charlottae,29
Iole crypta,10,Iole crypta,33
Iole indica,204,Iole indica,33
Iole palawanensis,1,Iole palawanensis,8
Iole propinqua,24,Iole propinqua,51
Iole viridescens,13,Iole viridescens,66
Irania gutturalis,13,Irania gutturalis,10
Irediparra gallinacea,6,Irediparra gallinacea,8
Irena cyanogastra,19,Irena cyanogastra,100
Irena puella,189,Irena puella,70
Iridophanes pulcherrimus,4,Iridophanes pulcherrimus,6
Iridosornis analis,37,Iridosornis analis,43
Iridosornis jelskii,2,Iridosornis jelskii,7
Iridosornis porphyrocephalus,34,Iridosornis porphyrocephalus,4
Iridosornis reinhardti,9,Iridosornis reinhardti,28
Iridosornis rufivertex,8,Iridosornis rufivertex,20
Isleria guttata,41,Isleria guttata,12
Isleria hauxwelli,121,Isleria hauxwelli,36
Ispidina lecontei,0,Ispidina lecontei,23
Ispidina picta,11,Ispidina picta,47
Ithaginis cruentus,16,Ithaginis cruentus,182
Ixobrychus cinnamomeus,29,Ixobrychus cinnamomeus,60
Ixobrychus dubius,30,Ixobrychus dubius,0
Ixobrychus eurhythmus,1,Ixobrychus eurhythmus,20
Ixobrychus exilis,1102,Ixobrychus exilis,5
Ixobrychus flavicollis,15,Ixobrychus flavicollis,19
Ixobrychus involucris,12,Ixobrychus involucris,1
Ixobrychus minutus,83,Ixobrychus minutus,18
Ixobrychus novaezelandiae,0,Ixobrychus novaezelandiae,0
Ixobrychus sinensis,44,Ixobrychus sinensis,25
Ixobrychus sturmii,0,Ixobrychus sturmii,1
Ixonotus guttatus,23,Ixonotus guttatus,11
Ixoreus naevius,526,Ixoreus naevius,25
Ixos malaccensis,18,Ixos malaccensis,6
Ixos mcclellandii,50,Ixos mcclellandii,24
Ixos virescens,6,Ixos virescens,3
Ixothraupis guttata,14,Ixothraupis guttata,6
Ixothraupis punctata,16,Ixothraupis punctata,16
Ixothraupis rufigula,10,Ixothraupis rufigula,4
Ixothraupis varia,15,Ixothraupis varia,4
Ixothraupis xanthogastra,12,Ixothraupis xanthogastra,7
Jabiru mycteria,10,Jabiru mycteria,35
Jacamaralcyon tridactyla,20,Jacamaralcyon tridactyla,1
Jacamerops aureus,165,Jacamerops aureus,7
Jacana jacana,102,Jacana jacana,94
Jacana spinosa,64,Jacana spinosa,43
Jubula lettii,0,Jubula lettii,0
Juliamyia julie,26,Juliamyia julie,15
Junco bairdi,6,Junco bairdi,0
Junco hyemalis,3299,Junco hyemalis,32409
Junco insularis,2,Junco insularis,113
Junco phaeonotus,210,Junco phaeonotus,501
Junco vulcani,22,Junco vulcani,10
Jynx ruficollis,21,Jynx ruficollis,37
Jynx torquilla,173,Jynx torquilla,48
Kakamega poliothorax,17,Kakamega poliothorax,21
Kaupifalco monogrammicus,20,Kaupifalco monogrammicus,4
Kenopia striata,30,Kenopia striata,18
Ketupa blakistoni,10,Ketupa blakistoni,105
Ketupa flavipes,0,Ketupa flavipes,7
Ketupa ketupu,11,Ketupa ketupu,6
Ketupa zeylonensis,33,Ketupa zeylonensis,3
Klais guimeti,52,Klais guimeti,7
Kleinothraupis atropileus,64,Kleinothraupis atropileus,12
Kleinothraupis calophrys,6,Kleinothraupis calophrys,3
Kleinothraupis parodii,12,Kleinothraupis parodii,2
Kleinothraupis reyi,11,Kleinothraupis reyi,1
Knipolegus aterrimus,25,Knipolegus aterrimus,43
Knipolegus cabanisi,4,Knipolegus cabanisi,3
Knipolegus cyanirostris,3,Knipolegus cyanirostris,24
Knipolegus franciscanus,2,Knipolegus franciscanus,2
Knipolegus hudsoni,17,Knipolegus hudsoni,20
Knipolegus lophotes,7,Knipolegus lophotes,17
Knipolegus nigerrimus,5,Knipolegus nigerrimus,2
Knipolegus orenocensis,14,Knipolegus orenocensis,14
Knipolegus poecilocercus,6,Knipolegus poecilocercus,25
Knipolegus poecilurus,13,Knipolegus poecilurus,42
Knipolegus signatus,0,Knipolegus signatus,32
Knipolegus striaticeps,17,Knipolegus striaticeps,14
Kurochkinegramma hypogrammicum,27,Kurochkinegramma hypogrammicum,64
Lacedo pulchella,31,Lacedo pulchella,13
Lafresnaya lafresnayi,13,Lafresnaya lafresnayi,18
Lagonosticta landanae,0,Lagonosticta landanae,0
Lagonosticta larvata,2,Lagonosticta larvata,2
Lagonosticta nitidula,2,Lagonosticta nitidula,2
Lagonosticta rara,0,Lagonosticta rara,2
Lagonosticta rhodopareia,4,Lagonosticta rhodopareia,2
Lagonosticta rubricata,20,Lagonosticta rubricata,4
Lagonosticta rufopicta,3,Lagonosticta rufopicta,2
Lagonosticta sanguinodorsalis,0,Lagonosticta sanguinodorsalis,16
Lagonosticta senegala,21,Lagonosticta senegala,10
Lagonosticta umbrinodorsalis,0,Lagonosticta umbrinodorsalis,2
Lagonosticta virata,0,Lagonosticta virata,2
Lagopus lagopus,88,Lagopus lagopus,11415
Lagopus leucura,51,Lagopus leucura,37
Lagopus muta,62,Lagopus muta,259
Lalage atrovirens,2,Lalage atrovirens,4
Lalage aurea,7,Lalage aurea,0
Lalage conjuncta,0,Lalage conjuncta,0
Lalage fimbriata,14,Lalage fimbriata,6
Lalage leucomela,23,Lalage leucomela,15
Lalage leucopyga,19,Lalage leucopyga,4
Lalage leucopygialis,0,Lalage leucopygialis,4
Lalage maculosa,27,Lalage maculosa,3
Lalage melanoleuca,4,Lalage melanoleuca,4
Lalage melanoptera,81,Lalage melanoptera,10
Lalage melaschistos,44,Lalage melaschistos,24
Lalage moesta,1,Lalage moesta,0
Lalage newtoni,22,Lalage newtoni,4
Lalage nigra,14,Lalage nigra,27
Lalage polioptera,2,Lalage polioptera,4
Lalage sharpei,12,Lalage sharpei,1
Lalage sueurii,5,Lalage sueurii,11
Lalage tricolor,63,Lalage tricolor,19
Lalage typica,35,Lalage typica,4
Lampornis amethystinus,18,Lampornis amethystinus,351
Lampornis calolaemus,10,Lampornis calolaemus,22
Lampornis castaneoventris,9,Lampornis castaneoventris,39
Lampornis clemenciae,92,Lampornis clemenciae,15
Lampornis hemileucus,8,Lampornis hemileucus,25
Lampornis sybillae,19,Lampornis sybillae,20
Lampornis viridipallens,17,Lampornis viridipallens,15
Lamprolaima rhami,6,Lamprolaima rhami,26
Lamprolia klinesmithi,2,Lamprolia klinesmithi,0
Lamprolia victoriae,5,Lamprolia victoriae,17
Lampropsar tanagrinus,47,Lampropsar tanagrinus,10
Lamprospiza melanoleuca,81,Lamprospiza melanoleuca,6
Lamprotornis acuticaudus,6,Lamprotornis acuticaudus,1
Lamprotornis albicapillus,7,Lamprotornis albicapillus,9
Lamprotornis australis,24,Lamprotornis australis,16
Lamprotornis bicolor,10,Lamprotornis bicolor,12
Lamprotornis caudatus,23,Lamprotornis caudatus,13
Lamprotornis chalcurus,8,Lamprotornis chalcurus,2
Lamprotornis chalybaeus,61,Lamprotornis chalybaeus,27
Lamprotornis chloropterus,19,Lamprotornis chloropterus,2
Lamprotornis fischeri,3,Lamprotornis fischeri,12
Lamprotornis hildebrandti,12,Lamprotornis hildebrandti,16
Lamprotornis iris,0,Lamprotornis iris,16
Lamprotornis mevesii,12,Lamprotornis mevesii,10
Lamprotornis nitens,9,Lamprotornis nitens,19
