eBird/Clements Name,Macaulay Audio Total,GenBank species,GB_Nucleotide_Seqs
Aethopyga pulcherrima,6,Aethopyga pulcherrima,82
Aethopyga saturata,32,Aethopyga saturata,19
Aethopyga shelleyi,2,Aethopyga shelleyi,20
Aethopyga siparaja,58,Aethopyga siparaja,43
Aethopyga temminckii,24,Aethopyga temminckii,9
Aethopyga tibolii,0,Aethopyga tibolii,0
Aethopyga vigorsii,14,Aethopyga vigorsii,0
Afropavo congensis,0,Afropavo congensis,2016
Agamia agami,6,Agamia agami,3
Agapornis canus,13,Agapornis canus,11
Agapornis fischeri,15,Agapornis fischeri,18
Agapornis lilianae,0,Agapornis lilianae,4
Agapornis nigrigenis,1,Agapornis nigrigenis,6
Agapornis personatus,13,Agapornis personatus,12
Agapornis pullarius,6,Agapornis pullarius,7
Agapornis roseicollis,83,Agapornis roseicollis,46
Agapornis swindernianus,0,Agapornis swindernianus,2
Agapornis taranta,11,Agapornis taranta,2
Agelaioides badius,114,Agelaioides badius,24
Agelaioides fringillarius,7,Agelaioides fringillarius,0
Agelaius assimilis,10,Agelaius assimilis,1
Agelaius humeralis,11,Agelaius humeralis,2
Agelaius phoeniceus,5286,Agelaius phoeniceus,354
Agelaius tricolor,148,Agelaius tricolor,29
Agelaius xanthomus,6,Agelaius xanthomus,6
Agelastes meleagrides,0,Agelastes meleagrides,1
Agelastes niger,0,Agelastes niger,0
Agelasticus cyanopus,33,Agelasticus cyanopus,20
Agelasticus thilius,75,Agelasticus thilius,15
Agelasticus xanthophthalmus,17,Agelasticus xanthophthalmus,6
Aglaeactis aliciae,6,Aglaeactis aliciae,0
Aglaeactis castelnaudii,1,Aglaeactis castelnaudii,17
Aglaeactis cupripennis,11,Aglaeactis cupripennis,16
Aglaeactis pamela,3,Aglaeactis pamela,6
Aglaiocercus berlepschi,3,Aglaiocercus berlepschi,0
Aglaiocercus coelestis,16,Aglaiocercus coelestis,9
Aglaiocercus kingii,15,Aglaiocercus kingii,52
Agraphospiza rubescens,0,Agraphospiza rubescens,13
Agricola infuscatus,0,Agricola infuscatus,7
Agricola pallidus,6,Agricola pallidus,9
Agriornis albicauda,3,Agriornis albicauda,6
Agriornis lividus,8,Agriornis lividus,6
Agriornis micropterus,3,Agriornis micropterus,14
Agriornis montanus,20,Agriornis montanus,8
Agriornis murinus,11,Agriornis murinus,13
Agropsar philippensis,1,Agropsar philippensis,22
Agropsar sturninus,3,Agropsar sturninus,9
Ailuroedus arfakianus,2,Ailuroedus arfakianus,10
Ailuroedus astigmaticus,4,Ailuroedus astigmaticus,13
Ailuroedus buccoides,1,Ailuroedus buccoides,28
Ailuroedus crassirostris,65,Ailuroedus crassirostris,49
Ailuroedus geislerorum,5,Ailuroedus geislerorum,43
Ailuroedus jobiensis,0,Ailuroedus jobiensis,24
Ailuroedus maculosus,35,Ailuroedus maculosus,29
Ailuroedus melanocephalus,5,Ailuroedus melanocephalus,28
Ailuroedus melanotis,4,Ailuroedus melanotis,39
Ailuroedus stonii,1,Ailuroedus stonii,31
Aimophila notosticta,25,Aimophila notosticta,14
Aimophila rufescens,141,Aimophila rufescens,32
Aimophila ruficeps,543,Aimophila ruficeps,47
Aix galericulata,28,Aix galericulata,27
Aix sponsa,730,Aix sponsa,86
Akialoa ellisiana,0,Akialoa ellisiana,0
Akialoa lanaiensis,0,Akialoa lanaiensis,0
Akialoa obscura,0,Akialoa obscura,2
Akialoa stejnegeri,0,Akialoa stejnegeri,0
Akletos goeldii,89,Akletos goeldii,4
Akletos melanoceps,106,Akletos melanoceps,4
Alaemon alaudipes,15,Alaemon alaudipes,13
Alaemon hamertoni,0,Alaemon hamertoni,0
Alauda arvensis,593,Alauda arvensis,223
Alauda gulgula,230,Alauda gulgula,7
Alauda leucoptera,0,Alauda leucoptera,4
Alauda razae,0,Alauda razae,26
Alaudala cheleensis,63,Alaudala cheleensis,8
Alaudala raytal,24,Alaudala raytal,6
Alaudala rufescens,76,Alaudala rufescens,21
Alaudala somalica,9,Alaudala somalica,7
Alca torda,34,Alca torda,95
Alcedo atthis,260,Alcedo atthis,103
Alcedo coerulescens,8,Alcedo coerulescens,2
Alcedo euryzona,3,Alcedo euryzona,10
Alcedo hercules,1,Alcedo hercules,14
Alcedo meninting,12,Alcedo meninting,15
Alcedo quadribrachys,2,Alcedo quadribrachys,18
Alcedo semitorquata,3,Alcedo semitorquata,8
Alcippe brunneicauda,58,Alcippe brunneicauda,22
Alcippe davidi,11,Alcippe davidi,16
Alcippe fratercula,36,Alcippe fratercula,6
Alcippe grotei,8,Alcippe grotei,15
Alcippe hueti,21,Alcippe hueti,18
Alcippe morrisonia,71,Alcippe morrisonia,1916
Alcippe nipalensis,16,Alcippe nipalensis,443
Alcippe peracensis,24,Alcippe peracensis,16
Alcippe poioicephala,158,Alcippe poioicephala,74
Alcippe pyrrhoptera,9,Alcippe pyrrhoptera,5
Alcippe variegaticeps,0,Alcippe variegaticeps,5
Aleadryas rufinucha,27,Aleadryas rufinucha,20
Alectoris barbara,16,Alectoris barbara,12
Alectoris chukar,91,Alectoris chukar,777
Alectoris graeca,10,Alectoris graeca,44
Alectoris magna,7,Alectoris magna,166
Alectoris melanocephala,4,Alectoris melanocephala,11
Alectoris philbyi,4,Alectoris philbyi,10
Alectoris rufa,79,Alectoris rufa,2542
Alectroenas madagascariensis,1,Alectroenas madagascariensis,3
Alectroenas nitidissimus,0,Alectroenas nitidissimus,0
Alectroenas payandeei,0,Alectroenas payandeei,0
Alectroenas pulcherrimus,1,Alectroenas pulcherrimus,5
Alectroenas sganzini,0,Alectroenas sganzini,2
Alectrurus risora,4,Alectrurus risora,19
Alectrurus tricolor,1,Alectrurus tricolor,2
Alectura lathami,31,Alectura lathami,557
Alethe castanea,19,Alethe castanea,53
Alethe diademata,27,Alethe diademata,59
Alipiopsitta xanthops,9,Alipiopsitta xanthops,21
Alisterus amboinensis,2,Alisterus amboinensis,16
Alisterus chloropterus,7,Alisterus chloropterus,4
Alisterus scapularis,82,Alisterus scapularis,40
Alle alle,4,Alle alle,114
Allenia fusca,26,Allenia fusca,32
Alopecoenas beccarii,8,Alopecoenas beccarii,18
Alopecoenas canifrons,3,Alopecoenas canifrons,4
Alopecoenas erythropterus,1,Alopecoenas erythropterus,4
Alopecoenas ferrugineus,0,Alopecoenas ferrugineus,0
Alopecoenas hoedtii,1,Alopecoenas hoedtii,2
Alopecoenas jobiensis,0,Alopecoenas jobiensis,9
Alopecoenas kubaryi,0,Alopecoenas kubaryi,2
Alopecoenas norfolkensis,0,Alopecoenas norfolkensis,0
Alopecoenas rubescens,0,Alopecoenas rubescens,2
Alopecoenas salamonis,0,Alopecoenas salamonis,2
Alopecoenas sanctaecrucis,0,Alopecoenas sanctaecrucis,2
Alopecoenas stairi,3,Alopecoenas stairi,7
Alopecoenas xanthonurus,9,Alopecoenas xanthonurus,7
Alophoixus affinis,8,Alophoixus affinis,4
Alophoixus aureus,6,Alophoixus aureus,0
Alophoixus bres,43,Alophoixus bres,54
Alophoixus chloris,2,Alophoixus chloris,0
Alophoixus finschii,11,Alophoixus finschii,6
Alophoixus flaveolus,29,Alophoixus flaveolus,91
Alophoixus frater,0,Alophoixus frater,8
Alophoixus longirostris,13,Alophoixus longirostris,0
Alophoixus lucasi,7,Alophoixus lucasi,0
Alophoixus mystacalis,2,Alophoixus mystacalis,0
Alophoixus ochraceus,58,Alophoixus ochraceus,224
Alophoixus pallidus,39,Alophoixus pallidus,777
Alophoixus phaeocephalus,37,Alophoixus phaeocephalus,51
Alophoixus platenae,0,Alophoixus platenae,0
Alopochelidon fucata,15,Alopochelidon fucata,8
Alopochen aegyptiaca,144,Alopochen aegyptiaca,14
Alopochen kervazoi,0,Alopochen kervazoi,0
Alopochen mauritiana,0,Alopochen mauritiana,0
Amadina erythrocephala,5,Amadina erythrocephala,3
Amadina fasciata,3,Amadina fasciata,6
Amalocichla incerta,17,Amalocichla incerta,33
Amalocichla sclateriana,2,Amalocichla sclateriana,6
Amandava amandava,96,Amandava amandava,11
Amaurolimnas concolor,77,Amaurolimnas concolor,2
Amaurornis cinerea,35,Amaurornis cinerea,0
Amaurornis isabellina,14,Amaurornis isabellina,0
Amaurornis magnirostris,5,Amaurornis magnirostris,0
Amaurornis marginalis,0,Amaurornis marginalis,0
Amaurornis moluccana,88,Amaurornis moluccana,4
Amaurornis olivacea,14,Amaurornis olivacea,5
Amaurornis phoenicurus,525,Amaurornis phoenicurus,31
Amaurospiza carrizalensis,1,Amaurospiza carrizalensis,0
Amaurospiza concolor,46,Amaurospiza concolor,6
Amaurospiza moesta,28,Amaurospiza moesta,2
Amazilia amabilis,40,Amazilia amabilis,12
Amazilia amazilia,43,Amazilia amazilia,19
Amazilia beryllina,70,Amazilia beryllina,204
Amazilia boucardi,5,Amazilia boucardi,0
Amazilia brevirostris,15,Amazilia brevirostris,21
Amazilia candida,79,Amazilia candida,42
Amazilia castaneiventris,13,Amazilia castaneiventris,5
Amazilia chionogaster,82,Amazilia chionogaster,16
Amazilia cyanifrons,6,Amazilia cyanifrons,0
Amazilia cyanocephala,47,Amazilia cyanocephala,245
Amazilia cyanura,10,Amazilia cyanura,110
Amazilia decora,26,Amazilia decora,9
Amazilia edward,15,Amazilia edward,13
Amazilia fimbriata,58,Amazilia fimbriata,12
Amazilia franciae,37,Amazilia franciae,12
Amazilia hoffmanni,16,Amazilia hoffmanni,2
Amazilia lactea,28,Amazilia lactea,9
Amazilia leucogaster,9,Amazilia leucogaster,9
Amazilia luciae,23,Amazilia luciae,0
Amazilia rosenbergi,16,Amazilia rosenbergi,6
Amazilia rutila,71,Amazilia rutila,26
Amazilia saucerottei,12,Amazilia saucerottei,63
Amazilia tobaci,19,Amazilia tobaci,21
Amazilia tzacatl,205,Amazilia tzacatl,153
Amazilia versicolor,42,Amazilia versicolor,25
Amazilia violiceps,36,Amazilia violiceps,242
Amazilia viridicauda,15,Amazilia viridicauda,19
Amazilia viridifrons,4,Amazilia viridifrons,115
Amazilia viridigaster,7,Amazilia viridigaster,19
Amazilia yucatanensis,65,Amazilia yucatanensis,28
Amazona aestiva,127,Amazona aestiva,288
Amazona agilis,25,Amazona agilis,8
Amazona albifrons,174,Amazona albifrons,36
Amazona amazonica,190,Amazona amazonica,27
Amazona arausiaca,21,Amazona arausiaca,10
Amazona auropalliata,88,Amazona auropalliata,86
Amazona autumnalis,205,Amazona autumnalis,57
Amazona barbadensis,9,Amazona barbadensis,11
Amazona brasiliensis,18,Amazona brasiliensis,35
Amazona collaria,16,Amazona collaria,9
Amazona dufresniana,31,Amazona dufresniana,12
Amazona farinosa,428,Amazona farinosa,131
Amazona festiva,28,Amazona festiva,9
Amazona finschi,44,Amazona finschi,9
Amazona guildingii,16,Amazona guildingii,31
Amazona imperialis,5,Amazona imperialis,8
