PetersTaxonomy	InClements?
Ammoperdix_griseogularis	Clements
Ammoperdix_heyi	Clements
Amoropsittaca_aymara	No
Ampeliceps_coronatus	Clements
Ampelioides_tschudii	Clements
Ampelion_rubrocristatus	Clements
Ampelion_rufaxilla	Clements
Ampelion_sclateri	No
Ampelion_stresemanni	No
Amphispiza_belli	No
Amphispiza_bilineata	Clements
Amytornis_barbatus	Clements
Amytornis_dorotheae	Clements
Amytornis_goyderi	Clements
Amytornis_housei	Clements
Amytornis_purnelli	Clements
Amytornis_striatus	Clements
Amytornis_textilis	Clements
Amytornis_woodwardi	Clements
Anabacerthia_amaurotis	Clements
Anabacerthia_striaticollis	Clements
Anabacerthia_temporalis	No
Anabazenops_fuscus	Clements
Anairetes_agilis	No
Anairetes_agraphia	No
Anairetes_alpinus	Clements
Anairetes_fernandezianus	Clements
Anairetes_flavirostris	Clements
Anairetes_parulus	Clements
Anairetes_reguloides	Clements
Anarhynchus_frontalis	Clements
Anas_acuta	Clements
Anas_albogularis	Clements
Anas_americana	No
Anas_andium	Clements
Anas_angustirostris	No
Anas_aucklandica	Clements
Anas_bahamensis	Clements
Anas_bernieri	Clements
Anas_brasiliensis	No
Anas_capensis	Clements
Anas_castanea	Clements
Anas_chlorotis	Clements
Anas_clypeata	No
Anas_crecca	Clements
Anas_cyanoptera	No
Anas_diazi	Clements
Anas_discors	No
Anas_eatoni	Clements
Anas_erythrorhyncha	Clements
Anas_falcata	No
Anas_flavirostris	Clements
Anas_formosa	No
Anas_fulvigula	Clements
Anas_galapagensis	No
Anas_georgica	Clements
Anas_gibberifrons	Clements
Anas_hottentota	No
Anas_laysanensis	Clements
Anas_leucophrys	No
Anas_luzonica	Clements
Anas_melleri	Clements
Anas_oustaleti	No
Anas_penelope	No
Anas_platalea	No
Anas_platyrhynchos	Clements
Anas_poecilorhyncha	Clements
Anas_punctata	No
Anas_querquedula	No
Anas_rhynchotis	No
Anas_rubripes	Clements
Anas_sibilatrix	No
Anas_smithii	No
Anas_sparsa	Clements
Anas_specularioides	No
Anas_specularis	No
Anas_spinicauda	No
Anas_strepera	No
Anas_superciliosa	Clements
Anas_undulata	Clements
Anas_versicolor	No
Anas_waigiuensis	No
Anas_wyvilliana	Clements
Anastomus_lamelligerus	Clements
Anastomus_oscitans	Clements
Ancistrops_strigilatus	Clements
Andigena_bailloni	No
Andigena_cucullata	Clements
Andigena_hypoglauca	Clements
Andigena_laminirostris	Clements
Andigena_nigrirostris	Clements
Androdon_aequatorialis	Clements
Androphobus_viridis	Clements
Anhima_cornuta	Clements
Anhinga_anhinga	Clements
Anhinga_melanogaster	Clements
Anhinga_novaehollandiae	Clements
Anhinga_rufa	Clements
Anisognathus_flavinuchus	No
Anisognathus_igniventris	Clements
Anisognathus_lacrymosus	Clements
Anisognathus_notabilis	Clements
Anodorhynchus_glaucus	Clements
Anodorhynchus_hyacinthinus	Clements
Anodorhynchus_leari	Clements
Anomalophrys_superciliosus	No
Anomalospiza_imberbis	Clements
Anorrhinus_galeritus	Clements
Anous_minutus	Clements
Anous_stolidus	Clements
Anous_tenuirostris	Clements
Anser_albifrons	Clements
Anser_anser	Clements
Anser_brachyrhynchus	Clements
Anser_caerulescens	Clements
Anser_canagicus	Clements
Anser_cygnoides	Clements
Anser_erythropus	Clements
Anser_fabalis	Clements
Anser_indicus	Clements
Anser_neglectus	No
Anser_rossii	Clements
Anseranas_semipalmata	Clements
Anthocephala_floriceps	Clements
Anthochaera_carunculata	Clements
Anthochaera_chrysoptera	Clements
Anthochaera_rufogularis	No
Anthornis_melanura	Clements
Anthoscopus_caroli	Clements
Anthoscopus_flavifrons	Clements
Anthoscopus_minutus	Clements
Anthoscopus_musculus	Clements
Anthoscopus_parvulus	Clements
Anthoscopus_punctifrons	Clements
Anthoscopus_sylviella	No
Anthracoceros_coronatus	Clements
Anthracoceros_malabaricus	No
Anthracoceros_malayanus	Clements
Anthracoceros_marchei	Clements
Anthracoceros_montani	Clements
Anthracothorax_dominicus	Clements
Anthracothorax_mango	Clements
Anthracothorax_nigricollis	Clements
Anthracothorax_prevostii	Clements
Anthracothorax_veraguensis	Clements
Anthracothorax_viridigula	Clements
Anthracothorax_viridis	Clements
Anthreptes_anchietae	Clements
Anthreptes_aurantium	Close
Anthreptes_collaris	No
Anthreptes_fraseri	No
Anthreptes_gabonicus	Clements
Anthreptes_longuemarei	Clements
Anthreptes_malacensis	Clements
Anthreptes_neglectus	Clements
Anthreptes_orientalis	Clements
Anthreptes_pallidigaster	No
Anthreptes_platurus	No
Anthreptes_pujoli	No
Anthreptes_rectirostris	Clements
Anthreptes_reichenowi	Clements
Anthreptes_rhodolaema	No
Anthreptes_simplex	Clements
Anthreptes_singalensis	No
Anthropoides_paradisea	No
Anthropoides_virgo	Clements
Anthus_antarcticus	Clements
Anthus_berthelotii	Clements
Anthus_bogotensis	Clements
Anthus_brachyurus	Clements
Anthus_caffer	Clements
Anthus_campestris	Clements
Anthus_cervinus	Clements
Anthus_chacoensis	Clements
Anthus_chloris	No
Anthus_correndera	Clements
Anthus_crenatus	Clements
Anthus_furcatus	Clements
Anthus_godlewskii	Clements
Anthus_gustavi	Clements
Anthus_gutturalis	Clements
Anthus_hellmayri	Clements
Anthus_hodgsoni	Clements
Anthus_leucophrys	Clements
Anthus_lineiventris	Clements
Anthus_lutescens	Clements
Anthus_melindae	Clements
Anthus_nattereri	Clements
Anthus_nilghiriensis	Clements
Anthus_novaeseelandiae	Clements
Anthus_pallidiventris	Clements
Anthus_pratensis	Clements
Anthus_roseatus	Clements
Anthus_similis	Clements
Anthus_sokokensis	Clements
Anthus_spinoletta	Clements
Anthus_spragueii	Clements
Anthus_sylvanus	Clements
Anthus_trivialis	Clements
Anthus_vaalensis	Clements
Antilophia_galeata	Clements
Anumbius_annumbi	Clements
Anurolimnas_castaneiceps	Clements
Anurophasis_monorthonyx	Clements
Apalis_alticola	Clements
Apalis_bamendae	Clements
Apalis_binotata	Clements
Apalis_chariessa	Clements
Apalis_chirindensis	Clements
Apalis_cinerea	Clements
Apalis_flavida	Clements
Apalis_goslingi	Clements
Apalis_jacksoni	Clements
Apalis_karamojae	Clements
Apalis_melanocephala	Clements
Apalis_nigriceps	Clements
Apalis_porphyrolaema	Clements
Apalis_pulchra	No
Apalis_ruddi	Clements
Apalis_rufifrons	No
Apalis_rufogularis	Clements
Apalis_ruwenzorii	No
Apalis_sharpii	Clements
Apalis_thoracica	Clements
Apaloderma_aequatoriale	Clements
Apaloderma_narina	Clements
Apalopteron_familiare	Clements
Aphanolimnas_monasa	No
Aphanotriccus_audax	Clements
Aphanotriccus_capitalis	Clements
Aphantochroa_cirrochloris	Clements
Aphelocephala_leucopsis	Clements
Aphelocephala_nigricincta	Clements
Aphelocephala_pectoralis	Clements
Aphelocoma_coerulescens	Clements
Aphelocoma_ultramarina	Clements
Aphelocoma_unicolor	Clements
Aphrastura_masafuerae	Clements
Aphrastura_spinicauda	Clements
Aphriza_virgata	No
Aplonis_atrifusca	Clements
Aplonis_brunneicapilla	No
Aplonis_cantoroides	Clements
Aplonis_cinerascens	Clements
Aplonis_corvina	Clements
Aplonis_crassa	Clements
Aplonis_dichroa	Clements
Aplonis_feadensis	Clements
Aplonis_fusca	Clements
Aplonis_grandis	Clements
Aplonis_insularis	Clements
Aplonis_magna	Clements
Aplonis_mavornata	Clements
Aplonis_metallica	Clements
Aplonis_minor	Clements
Aplonis_mysolensis	Clements
Aplonis_mystacea	Clements
Aplonis_opaca	Clements
Aplonis_panayensis	Clements
Aplonis_pelzelni	Clements
Aplonis_santovestris	Clements
Aplonis_striata	Clements
Aplonis_tabuensis	Clements
Aplonis_zelandica	Clements
Aplopelia_larvata	No
Aplopelia_simplex	No
Aprosmictus_erythropterus	Clements
Aprosmictus_jonquillaceus	Clements
Aptenodytes_forsteri	Clements
Aptenodytes_patagonica	No
Aptenodytes_patagonicus	Clements
Apteryx_australis	Clements
Apteryx_haastii	Clements
Apteryx_owenii	Clements
Apus_acuticaudus	No
Apus_aequatorialis	Clements
Apus_affinis	Clements
Apus_andecolus	No
Apus_apus	Clements
Apus_batesi	Clements
Apus_caffer	Clements
Apus_horus	Clements
Apus_melba	Clements
Apus_myoptilus	No
Apus_pacificus	Clements
Apus_pallidus	Clements
Apus_reichenowi	No
Apus_sladeniae	No
Apus_toulsoni	No
Apus_unicolor	Clements
Aquila_audax	Clements
Aquila_chrysaetos	Clements
Aquila_chrysaetos	Clements
Aquila_clanga	No
Aquila_gurneyi	Clements
Aquila_heliaca	Clements
Aquila_nipalensis	Clements
Aquila_pomarina	No
Aquila_rapax	Clements
Aquila_verreauxii	Clements
Aquila_wahlbergi	No
Ara_ambigua	No
Ara_ararauna	Clements
Ara_auricollis	No
Ara_caninde	No
