Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Aegithina lafresnayei,9,Aegithina lafresnayei,0
Aegithina nigrolutea,7,Aegithina nigrolutea,0
Aegithina tiphia,212,Aegithina tiphia,40
Aegithina viridissima,23,Aegithina viridissima,6
Aegolius acadicus,267,Aegolius acadicus,133
Aegolius funereus,314,Aegolius funereus,108
Aegolius gradyi,0,Aegolius gradyi,0
Aegolius harrisii,73,Aegolius harrisii,2
Aegolius ridgwayi,21,Aegolius ridgwayi,0
Aegotheles affinis,0,Aegotheles affinis,4
Aegotheles albertisi,6,Aegotheles albertisi,15
Aegotheles archboldi,NA,Aegotheles archboldi,8
Aegotheles bennettii,6,Aegotheles bennettii,20
Aegotheles crinifrons,26,Aegotheles crinifrons,4
Aegotheles cristatus,44,Aegotheles cristatus,46
Aegotheles insignis,10,Aegotheles insignis,73
Aegotheles savesi,0,Aegotheles savesi,2
Aegotheles tatei,9,Aegotheles tatei,4
Aegotheles wallacii,12,Aegotheles wallacii,8
Aegypius monachus,4,Aegypius monachus,65
Aepypodius arfakianus,1,Aepypodius arfakianus,21
Aepypodius bruijnii,0,Aepypodius bruijnii,10
Aerodramus amelis,0,Aerodramus amelis,0
Aerodramus bartschi,0,Aerodramus bartschi,4
Aerodramus brevirostris,2,Aerodramus brevirostris,24
Aerodramus ceramensis,2,Aerodramus ceramensis,0
Aerodramus elaphrus,2,Aerodramus elaphrus,13
Aerodramus francicus,14,Aerodramus francicus,7
Aerodramus fuciphagus,8,Aerodramus fuciphagus,693
Aerodramus germani,13,Aerodramus germani,44
Aerodramus hirundinaceus,5,Aerodramus hirundinaceus,2
Aerodramus infuscatus,1,Aerodramus infuscatus,0
Aerodramus inquietus,5,Aerodramus inquietus,0
Aerodramus leucophaeus,1,Aerodramus leucophaeus,4
Aerodramus maximus,2,Aerodramus maximus,93
Aerodramus mearnsi,5,Aerodramus mearnsi,2
Aerodramus nuditarsus,0,Aerodramus nuditarsus,0
Aerodramus ocistus,1,Aerodramus ocistus,21
Aerodramus orientalis,0,Aerodramus orientalis,0
Aerodramus papuensis,0,Aerodramus papuensis,2
Aerodramus pelewensis,1,Aerodramus pelewensis,0
Aerodramus salangana,1,Aerodramus salangana,26
Aerodramus sawtelli,5,Aerodramus sawtelli,9
Aerodramus sororum,1,Aerodramus sororum,9
Aerodramus spodiopygius,8,Aerodramus spodiopygius,25
Aerodramus terraereginae,0,Aerodramus terraereginae,9
Aerodramus unicolor,8,Aerodramus unicolor,0
Aerodramus vanikorensis,10,Aerodramus vanikorensis,59
Aerodramus vulcanorum,0,Aerodramus vulcanorum,3
Aerodramus whiteheadi,0,Aerodramus whiteheadi,3
Aeronautes andecolus,22,Aeronautes andecolus,1
Aeronautes montivagus,29,Aeronautes montivagus,0
Aeronautes saxatalis,57,Aeronautes saxatalis,11
Aethia cristatella,4,Aethia cristatella,192
Aethia psittacula,5,Aethia psittacula,73
Aethia pusilla,11,Aethia pusilla,51
Aethia pygmaea,1,Aethia pygmaea,94
Aethopyga bella,5,Aethopyga bella,0
Aethopyga boltoni,12,Aethopyga boltoni,39
Aethopyga christinae,29,Aethopyga christinae,26
Aethopyga decorosa,1,Aethopyga decorosa,0
Aethopyga duyvenbodei,4,Aethopyga duyvenbodei,5
Aethopyga eximia,16,Aethopyga eximia,0
Aethopyga flagrans,2,Aethopyga flagrans,25
Aethopyga gouldiae,30,Aethopyga gouldiae,19
Aethopyga guimarasensis,3,Aethopyga guimarasensis,0
Aethopyga ignicauda,19,Aethopyga ignicauda,11
Aethopyga jefferyi,8,Aethopyga jefferyi,0
Aethopyga linaraborae,14,Aethopyga linaraborae,15
Aethopyga magnifica,5,Aethopyga magnifica,0
Aethopyga mystacalis,13,Aethopyga mystacalis,0
Aethopyga nipalensis,59,Aethopyga nipalensis,18
Aethopyga primigenia,4,Aethopyga primigenia,14
Aethopyga pulcherrima,5,Aethopyga pulcherrima,82
Aethopyga saturata,47,Aethopyga saturata,19
Aethopyga shelleyi,8,Aethopyga shelleyi,20
Aethopyga siparaja,76,Aethopyga siparaja,43
Aethopyga temminckii,30,Aethopyga temminckii,9
Aethopyga tibolii,NA,Aethopyga tibolii,0
Aethopyga vigorsii,10,Aethopyga vigorsii,0
Afropavo congensis,0,Afropavo congensis,2016
Agamia agami,11,Agamia agami,3
Agapornis canus,9,Agapornis canus,11
Agapornis fischeri,19,Agapornis fischeri,18
Agapornis lilianae,4,Agapornis lilianae,4
Agapornis nigrigenis,5,Agapornis nigrigenis,6
Agapornis personatus,15,Agapornis personatus,12
Agapornis pullarius,2,Agapornis pullarius,7
Agapornis roseicollis,49,Agapornis roseicollis,46
Agapornis swindernianus,0,Agapornis swindernianus,2
Agapornis taranta,18,Agapornis taranta,2
Agelaioides badius,114,Agelaioides badius,24
Agelaioides fringillarius,13,Agelaioides fringillarius,0
Agelaius assimilis,5,Agelaius assimilis,1
Agelaius humeralis,3,Agelaius humeralis,2
Agelaius phoeniceus,688,Agelaius phoeniceus,354
Agelaius tricolor,70,Agelaius tricolor,29
Agelaius xanthomus,7,Agelaius xanthomus,6
Agelastes meleagrides,1,Agelastes meleagrides,1
Agelastes niger,0,Agelastes niger,0
Agelasticus cyanopus,29,Agelasticus cyanopus,20
Agelasticus thilius,78,Agelasticus thilius,15
Agelasticus xanthophthalmus,9,Agelasticus xanthophthalmus,6
Aglaeactis aliciae,9,Aglaeactis aliciae,0
Aglaeactis castelnaudii,2,Aglaeactis castelnaudii,17
Aglaeactis cupripennis,9,Aglaeactis cupripennis,16
Aglaeactis pamela,5,Aglaeactis pamela,6
Aglaiocercus berlepschi,2,Aglaiocercus berlepschi,0
Aglaiocercus coelestis,28,Aglaiocercus coelestis,9
Aglaiocercus kingii,27,Aglaiocercus kingii,52
Agraphospiza rubescens,10,Agraphospiza rubescens,13
Agricola infuscatus,7,Agricola infuscatus,7
Agricola pallidus,11,Agricola pallidus,9
Agriornis albicauda,21,Agriornis albicauda,6
Agriornis lividus,8,Agriornis lividus,6
