Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Limosa fedoa,77,Limosa fedoa,15
Limosa haemastica,13,Limosa haemastica,14
Limosa lapponica,104,Limosa lapponica,67
Limosa limosa,273,Limosa limosa,344
Linaria cannabina,909,Linaria cannabina,30
Linaria flavirostris,129,Linaria flavirostris,58
Linaria johannis,0,Linaria johannis,0
Linaria yemenensis,7,Linaria yemenensis,0
Linurgus olivaceus,7,Linurgus olivaceus,30
Liocichla bugunorum,8,Liocichla bugunorum,2
Liocichla omeiensis,13,Liocichla omeiensis,41
Liocichla phoenicea,41,Liocichla phoenicea,57
Liocichla ripponi,13,Liocichla ripponi,5
Liocichla steerii,53,Liocichla steerii,175
Lioparus chrysotis,20,Lioparus chrysotis,659
Liosceles thoracicus,106,Liosceles thoracicus,12
Lipaugus fuscocinereus,27,Lipaugus fuscocinereus,9
Lipaugus lanioides,37,Lipaugus lanioides,1
Lipaugus streptophorus,7,Lipaugus streptophorus,6
Lipaugus unirufus,81,Lipaugus unirufus,9
Lipaugus uropygialis,2,Lipaugus uropygialis,4
Lipaugus vociferans,323,Lipaugus vociferans,18
Lipaugus weberi,36,Lipaugus weberi,0
Lissotis hartlaubii,0,Lissotis hartlaubii,0
Lissotis melanogaster,10,Lissotis melanogaster,2
Loboparadisea sericea,0,Loboparadisea sericea,12
Lobotos lobatus,0,Lobotos lobatus,0
Lobotos oriolinus,0,Lobotos oriolinus,4
Lochmias nematura,136,Lochmias nematura,33
Locustella accentor,14,Locustella accentor,10
Locustella alishanensis,24,Locustella alishanensis,6
Locustella amnicola,27,Locustella amnicola,213
Locustella castanea,66,Locustella castanea,20
Locustella caudata,27,Locustella caudata,13
Locustella certhiola,86,Locustella certhiola,779
Locustella chengi,12,Locustella chengi,14
Locustella davidi,43,Locustella davidi,11
Locustella fasciolata,39,Locustella fasciolata,97
Locustella fluviatilis,366,Locustella fluviatilis,25
Locustella idonea,7,Locustella idonea,2
Locustella kashmirensis,11,Locustella kashmirensis,6
Locustella lanceolata,75,Locustella lanceolata,47
Locustella luscinioides,404,Locustella luscinioides,72
Locustella luteoventris,31,Locustella luteoventris,8
Locustella major,0,Locustella major,1
Locustella mandelli,39,Locustella mandelli,16
Locustella montis,38,Locustella montis,14
Locustella naevia,674,Locustella naevia,44
Locustella ochotensis,28,Locustella ochotensis,359
Locustella pleskei,36,Locustella pleskei,166
Locustella pryeri,37,Locustella pryeri,115
Locustella seebohmi,26,Locustella seebohmi,1
Locustella tacsanowskia,33,Locustella tacsanowskia,14
Locustella thoracica,35,Locustella thoracica,9
Loddigesia mirabilis,3,Loddigesia mirabilis,6
Lonchura atricapilla,16,Lonchura atricapilla,4
Lonchura caniceps,1,Lonchura caniceps,21
Lonchura castaneothorax,9,Lonchura castaneothorax,92
Lonchura ferruginosa,1,Lonchura ferruginosa,1
Lonchura flaviprymna,1,Lonchura flaviprymna,21
Lonchura forbesi,2,Lonchura forbesi,21
Lonchura fuscans,12,Lonchura fuscans,6
Lonchura fuscata,1,Lonchura fuscata,0
Lonchura grandis,0,Lonchura grandis,41
Lonchura hunsteini,1,Lonchura hunsteini,11
Lonchura kelaarti,5,Lonchura kelaarti,1
Lonchura leucogastra,5,Lonchura leucogastra,10
Lonchura leucogastroides,8,Lonchura leucogastroides,2
Lonchura maja,9,Lonchura maja,3
Lonchura malacca,5,Lonchura malacca,20
Lonchura melaena,2,Lonchura melaena,34
Lonchura molucca,9,Lonchura molucca,0
Lonchura montana,2,Lonchura montana,0
Lonchura monticola,0,Lonchura monticola,0
Lonchura nana,9,Lonchura nana,3
Lonchura nevermanni,3,Lonchura nevermanni,19
Lonchura nigerrima,NA,Lonchura nigerrima,11
Lonchura oryzivora,6,Lonchura oryzivora,31
Lonchura pallida,1,Lonchura pallida,2
Lonchura punctulata,79,Lonchura punctulata,48
Lonchura quinticolor,2,Lonchura quinticolor,1
Lonchura spectabilis,5,Lonchura spectabilis,37
Lonchura striata,34,Lonchura striata,59887
Lonchura stygia,1,Lonchura stygia,21
Lonchura teerinki,2,Lonchura teerinki,0
Lonchura tristissima,6,Lonchura tristissima,2
Lonchura vana,7,Lonchura vana,0
Lophaetus occipitalis,22,Lophaetus occipitalis,12
Lophoceros alboterminatus,53,Lophoceros alboterminatus,6
Lophoceros bradfieldi,6,Lophoceros bradfieldi,3
Lophoceros camurus,34,Lophoceros camurus,34
Lophoceros fasciatus,36,Lophoceros fasciatus,6
Lophoceros hemprichii,15,Lophoceros hemprichii,3
Lophoceros nasutus,82,Lophoceros nasutus,12
Lophoceros pallidirostris,11,Lophoceros pallidirostris,3
Lophochroa leadbeateri,15,Lophochroa leadbeateri,22
Lophodytes cucullatus,27,Lophodytes cucullatus,59
Lophoictinia isura,5,Lophoictinia isura,3
Lopholaimus antarcticus,4,Lopholaimus antarcticus,18
Lophonetta specularioides,37,Lophonetta specularioides,1262
Lophophanes cristatus,593,Lophophanes cristatus,28
Lophophanes dichrous,19,Lophophanes dichrous,32
Lophophorus impejanus,35,Lophophorus impejanus,2004
Lophophorus lhuysii,8,Lophophorus lhuysii,65
Lophophorus sclateri,2,Lophophorus sclateri,19
Lophopsittacus bensoni,0,Lophopsittacus bensoni,0
Lophopsittacus mauritianus,0,Lophopsittacus mauritianus,0
Lophorina minor,0,Lophorina minor,8
Lophorina niedda,3,Lophorina niedda,0
Lophorina superba,22,Lophorina superba,40
Lophornis adorabilis,3,Lophornis adorabilis,0
Lophornis brachylophus,0,Lophornis brachylophus,0
Lophornis chalybeus,6,Lophornis chalybeus,6
Lophornis delattrei,3,Lophornis delattrei,6
Lophornis gouldii,1,Lophornis gouldii,0
Lophornis helenae,1,Lophornis helenae,0
Lophornis magnificus,7,Lophornis magnificus,2
Lophornis ornatus,2,Lophornis ornatus,1
Lophornis pavoninus,0,Lophornis pavoninus,9
Lophornis stictolophus,3,Lophornis stictolophus,0
Lophospingus griseocristatus,7,Lophospingus griseocristatus,6
Lophospingus pusillus,13,Lophospingus pusillus,2
Lophostrix cristata,86,Lophostrix cristata,4
Lophotibis cristata,3,Lophotibis cristata,30
Lophotriccus eulophotes,35,Lophotriccus eulophotes,0
Lophotriccus galeatus,131,Lophotriccus galeatus,4
Lophotriccus pileatus,255,Lophotriccus pileatus,7
Lophotriccus vitiosus,80,Lophotriccus vitiosus,6
Lophotriorchis kienerii,4,Lophotriorchis kienerii,6
Lophozosterops dohertyi,7,Lophozosterops dohertyi,0
Lophozosterops goodfellowi,1,Lophozosterops goodfellowi,3
Lophozosterops javanicus,12,Lophozosterops javanicus,5
Lophozosterops pinaiae,1,Lophozosterops pinaiae,0
Lophozosterops squamiceps,3,Lophozosterops squamiceps,6
Lophozosterops superciliaris,6,Lophozosterops superciliaris,8
Lophura bulweri,3,Lophura bulweri,6
Lophura diardi,18,Lophura diardi,19
Lophura edwardsi,0,Lophura edwardsi,16
Lophura erythrophthalma,1,Lophura erythrophthalma,3
Lophura ignita,15,Lophura ignita,13
Lophura inornata,2,Lophura inornata,22
Lophura leucomelanos,18,Lophura leucomelanos,38
Lophura nycthemera,10,Lophura nycthemera,424
Lophura swinhoii,9,Lophura swinhoii,30
Loriculus amabilis,9,Loriculus amabilis,0
Loriculus aurantiifrons,2,Loriculus aurantiifrons,0
Loriculus beryllinus,11,Loriculus beryllinus,1
Loriculus camiguinensis,3,Loriculus camiguinensis,0
Loriculus catamene,3,Loriculus catamene,3
Loriculus exilis,5,Loriculus exilis,0
Loriculus flosculus,6,Loriculus flosculus,0
Loriculus galgulus,23,Loriculus galgulus,15
Loriculus philippensis,20,Loriculus philippensis,8
Loriculus pusillus,11,Loriculus pusillus,2
Loriculus sclateri,4,Loriculus sclateri,0
Loriculus stigmatus,18,Loriculus stigmatus,1
Loriculus tener,0,Loriculus tener,0
Loriculus vernalis,46,Loriculus vernalis,10
Lorius albidinucha,0,Lorius albidinucha,10
Lorius chlorocercus,22,Lorius chlorocercus,7
Lorius domicella,5,Lorius domicella,9
Lorius garrulus,26,Lorius garrulus,22
Lorius hypoinochrous,8,Lorius hypoinochrous,6
Lorius lory,17,Lorius lory,12
Loxia curvirostra,2622,Loxia curvirostra,759
Loxia leucoptera,217,Loxia leucoptera,23
Loxia megaplaga,7,Loxia megaplaga,1
Loxia pytyopsittacus,237,Loxia pytyopsittacus,17
Loxia scotica,11,Loxia scotica,8
Loxia sinesciuris,37,Loxia sinesciuris,0
Loxigilla barbadensis,6,Loxigilla barbadensis,29
Loxigilla noctis,10,Loxigilla noctis,46
Loxioides bailleui,7,Loxioides bailleui,41
Loxipasser anoxanthus,3,Loxipasser anoxanthus,7
Loxops caeruleirostris,6,Loxops caeruleirostris,40
Loxops coccineus,12,Loxops coccineus,167
Loxops mana,21,Loxops mana,53
Loxops ochraceus,0,Loxops ochraceus,0
Loxops wolstenholmei,0,Loxops wolstenholmei,0
Lullula arborea,593,Lullula arborea,11
Lurocalis rufiventris,26,Lurocalis rufiventris,5
Lurocalis semitorquatus,127,Lurocalis semitorquatus,9
Luscinia luscinia,579,Luscinia luscinia,605
Luscinia megarhynchos,1572,Luscinia megarhynchos,591
Luscinia phaenicuroides,42,Luscinia phaenicuroides,12
Luscinia svecica,714,Luscinia svecica,2217
Lybius bidentatus,8,Lybius bidentatus,1
Lybius chaplini,5,Lybius chaplini,0
Lybius dubius,3,Lybius dubius,2
Lybius guifsobalito,11,Lybius guifsobalito,0
Lybius leucocephalus,5,Lybius leucocephalus,0
Lybius melanopterus,3,Lybius melanopterus,2
Lybius minor,3,Lybius minor,3
Lybius rolleti,0,Lybius rolleti,0
Lybius rubrifacies,3,Lybius rubrifacies,0
Lybius torquatus,34,Lybius torquatus,2
Lybius undatus,1,Lybius undatus,0
Lybius vieilloti,16,Lybius vieilloti,2
Lycocorax pyrrhopterus,49,Lycocorax pyrrhopterus,3
Lymnocryptes minimus,57,Lymnocryptes minimus,13
Lyncornis macrotis,59,Lyncornis macrotis,59
Lyncornis temminckii,9,Lyncornis temminckii,0
Macgregoria pulchra,2,Macgregoria pulchra,2
Machaerirhynchus flaviventer,32,Machaerirhynchus flaviventer,29
Machaerirhynchus nigripectus,19,Machaerirhynchus nigripectus,14
Machaeropterus deliciosus,61,Machaeropterus deliciosus,12
Machaeropterus eckelberryi,6,Machaeropterus eckelberryi,0
Machaeropterus pyrocephalus,44,Machaeropterus pyrocephalus,13
Machaeropterus regulus,28,Machaeropterus regulus,3
Machaeropterus striolatus,65,Machaeropterus striolatus,5
Macheiramphus alcinus,8,Macheiramphus alcinus,1
Machetornis rixosa,92,Machetornis rixosa,12
Machlolophus aplonotus,20,Machlolophus aplonotus,3
Machlolophus holsti,11,Machlolophus holsti,4
Machlolophus nuchalis,18,Machlolophus nuchalis,3
Machlolophus spilonotus,45,Machlolophus spilonotus,51
Machlolophus xanthogenys,19,Machlolophus xanthogenys,6
Mackenziaena leachii,82,Mackenziaena leachii,8
Mackenziaena severa,167,Mackenziaena severa,10
Macroagelaius imthurni,31,Macroagelaius imthurni,7
Macroagelaius subalaris,88,Macroagelaius subalaris,5
Macrocephalon maleo,7,Macrocephalon maleo,35
Macronectes giganteus,1,Macronectes giganteus,27
Macronectes halli,9,Macronectes halli,19
Macronus ptilosus,72,Macronus ptilosus,20
Macronus striaticeps,23,Macronus striaticeps,42
Macronyx ameliae,9,Macronyx ameliae,0
Macronyx aurantiigula,1,Macronyx aurantiigula,0
Macronyx capensis,46,Macronyx capensis,0
Macronyx croceus,48,Macronyx croceus,9
Macronyx flavicollis,3,Macronyx flavicollis,0
Macronyx fuelleborni,17,Macronyx fuelleborni,0
Macronyx grimwoodi,2,Macronyx grimwoodi,0
Macropsalis forcipata,7,Macropsalis forcipata,0
Macropygia amboinensis,51,Macropygia amboinensis,9
Macropygia cinnamomea,7,Macropygia cinnamomea,0
Macropygia doreya,41,Macropygia doreya,0
Macropygia emiliana,6,Macropygia emiliana,0
Macropygia macassariensis,4,Macropygia macassariensis,0
Macropygia mackinlayi,13,Macropygia mackinlayi,6
Macropygia magna,20,Macropygia magna,0
Macropygia modiglianii,7,Macropygia modiglianii,0
Macropygia nigrirostris,10,Macropygia nigrirostris,1
Macropygia phasianella,33,Macropygia phasianella,11
Macropygia ruficeps,49,Macropygia ruficeps,7
Macropygia rufipennis,2,Macropygia rufipennis,0
Macropygia tenuirostris,22,Macropygia tenuirostris,5
Macropygia timorlaoensis,10,Macropygia timorlaoensis,0
Macropygia unchall,37,Macropygia unchall,7
Macrosphenus concolor,41,Macrosphenus concolor,0
Macrosphenus flavicans,25,Macrosphenus flavicans,10
Macrosphenus kempi,16,Macrosphenus kempi,0
Macrosphenus kretschmeri,15,Macrosphenus kretschmeri,1
Macrosphenus pulitzeri,1,Macrosphenus pulitzeri,0
Madanga ruficollis,0,Madanga ruficollis,6
Magumma parva,17,Magumma parva,17
Malaconotus alius,9,Malaconotus alius,2
Malaconotus blanchoti,90,Malaconotus blanchoti,10
Malaconotus cruentus,3,Malaconotus cruentus,0
Malaconotus gladiator,4,Malaconotus gladiator,0
Malaconotus lagdeni,0,Malaconotus lagdeni,0
Malaconotus monteiri,0,Malaconotus monteiri,0
Malacopteron affine,84,Malacopteron affine,10
Malacopteron albogulare,11,Malacopteron albogulare,12
Malacopteron cinereum,69,Malacopteron cinereum,33
Malacopteron magnirostre,102,Malacopteron magnirostre,32
Malacopteron magnum,82,Malacopteron magnum,18
Malacopteron palawanense,12,Malacopteron palawanense,6
Malacoptila fulvogularis,25,Malacoptila fulvogularis,45
Malacoptila fusca,15,Malacoptila fusca,192
Malacoptila mystacalis,32,Malacoptila mystacalis,0
Malacoptila panamensis,35,Malacoptila panamensis,20
Malacoptila rufa,13,Malacoptila rufa,437
Malacoptila semicincta,10,Malacoptila semicincta,109
Malacoptila striata,47,Malacoptila striata,63
Malacorhynchus membranaceus,5,Malacorhynchus membranaceus,51
Malcorus pectoralis,28,Malcorus pectoralis,4
Malia grata,35,Malia grata,10
Malimbus ballmanni,1,Malimbus ballmanni,0
Malimbus cassini,0,Malimbus cassini,6
Malimbus coronatus,0,Malimbus coronatus,2
Malimbus erythrogaster,0,Malimbus erythrogaster,2
Malimbus ibadanensis,0,Malimbus ibadanensis,1
Malimbus malimbicus,9,Malimbus malimbicus,7
Malimbus nitens,28,Malimbus nitens,13
Malimbus racheliae,0,Malimbus racheliae,6
Malimbus rubricollis,6,Malimbus rubricollis,9
Malimbus scutatus,11,Malimbus scutatus,2
Malindangia mcgregori,7,Malindangia mcgregori,5
Malurus alboscapulatus,8,Malurus alboscapulatus,85
Malurus amabilis,9,Malurus amabilis,193
Malurus assimilis,15,Malurus assimilis,347
Malurus coronatus,4,Malurus coronatus,46
Malurus cyaneus,44,Malurus cyaneus,93
Malurus cyanocephalus,30,Malurus cyanocephalus,44
Malurus elegans,8,Malurus elegans,81
Malurus lamberti,20,Malurus lamberti,344
Malurus leucopterus,11,Malurus leucopterus,791
Malurus melanocephalus,21,Malurus melanocephalus,2221
Malurus pulcherrimus,7,Malurus pulcherrimus,92
Malurus splendens,16,Malurus splendens,376
Manacus aurantiacus,33,Manacus aurantiacus,20
Manacus candei,56,Manacus candei,29
Manacus manacus,266,Manacus manacus,100
Manacus vitellinus,59,Manacus vitellinus,31221
Mandingoa nitidula,12,Mandingoa nitidula,12
Manorina flavigula,13,Manorina flavigula,4
Manorina melanocephala,52,Manorina melanocephala,41
Manorina melanophrys,35,Manorina melanophrys,12
Manorina melanotis,7,Manorina melanotis,1
Manucodia ater,17,Manucodia ater,8
Manucodia chalybatus,2,Manucodia chalybatus,7
Manucodia comrii,4,Manucodia comrii,4
Manucodia jobiensis,0,Manucodia jobiensis,3
Mareca americana,65,Mareca americana,604
Mareca falcata,20,Mareca falcata,119
Mareca marecula,0,Mareca marecula,0
Mareca penelope,265,Mareca penelope,634
Mareca sibilatrix,33,Mareca sibilatrix,60
Mareca strepera,207,Mareca strepera,2356
Margarobyas lawrencii,1,Margarobyas lawrencii,0
Margaroperdix madagarensis,0,Margaroperdix madagarensis,9
Margarops fuscatus,24,Margarops fuscatus,40
Margarornis bellulus,1,Margarornis bellulus,5
Margarornis rubiginosus,11,Margarornis rubiginosus,16
Margarornis squamiger,47,Margarornis squamiger,24
Margarornis stellatus,15,Margarornis stellatus,3
Marmaronetta angustirostris,5,Marmaronetta angustirostris,15
Mascarinus mascarin,0,Mascarinus mascarin,2
Masius chrysopterus,19,Masius chrysopterus,8
Mayrornis lessoni,11,Mayrornis lessoni,25
Mayrornis schistaceus,2,Mayrornis schistaceus,4
Mayrornis versicolor,0,Mayrornis versicolor,14
Mazaria propinqua,45,Mazaria propinqua,11
Mearnsia novaeguineae,3,Mearnsia novaeguineae,0
Mearnsia picina,0,Mearnsia picina,0
Mecocerculus calopterus,6,Mecocerculus calopterus,3
Mecocerculus hellmayri,27,Mecocerculus hellmayri,0
Mecocerculus leucophrys,165,Mecocerculus leucophrys,20
Mecocerculus minor,25,Mecocerculus minor,2
Mecocerculus poecilocercus,47,Mecocerculus poecilocercus,3
Mecocerculus stictopterus,83,Mecocerculus stictopterus,2
Megabyas flammulatus,12,Megabyas flammulatus,10
Megaceryle alcyon,93,Megaceryle alcyon,19
Megaceryle lugubris,14,Megaceryle lugubris,12
Megaceryle maxima,15,Megaceryle maxima,14
Megaceryle torquata,193,Megaceryle torquata,24
Megacrex inepta,0,Megacrex inepta,4
Megadyptes antipodes,2,Megadyptes antipodes,77
Megalurus palustris,62,Megalurus palustris,31
Megapodius bernsteinii,5,Megapodius bernsteinii,3
Megapodius cumingii,16,Megapodius cumingii,19
Megapodius decollatus,6,Megapodius decollatus,23
Megapodius eremita,12,Megapodius eremita,96
Megapodius forsteni,NA,Megapodius forsteni,30
Megapodius freycinet,40,Megapodius freycinet,36
Megapodius geelvinkianus,9,Megapodius geelvinkianus,5
Megapodius laperouse,7,Megapodius laperouse,86
Megapodius layardi,3,Megapodius layardi,53
Megapodius nicobariensis,2,Megapodius nicobariensis,0
Megapodius pritchardii,14,Megapodius pritchardii,26
Megapodius reinwardt,52,Megapodius reinwardt,186
Megapodius tenimberensis,1,Megapodius tenimberensis,18
Megapomatorhinus erythrocnemis,27,Megapomatorhinus erythrocnemis,0
Megapomatorhinus erythrogenys,83,Megapomatorhinus erythrogenys,26
Megapomatorhinus gravivox,25,Megapomatorhinus gravivox,38
Megapomatorhinus hypoleucos,59,Megapomatorhinus hypoleucos,37
Megapomatorhinus mcclellandi,21,Megapomatorhinus mcclellandi,0
Megapomatorhinus swinhoei,31,Megapomatorhinus swinhoei,16
Megarynchus pitangua,389,Megarynchus pitangua,14
Megascops albogularis,75,Megascops albogularis,16
Megascops asio,101,Megascops asio,78
Megascops atricapilla,87,Megascops atricapilla,21
Megascops barbarus,4,Megascops barbarus,7
Megascops centralis,35,Megascops centralis,1
Megascops choliba,293,Megascops choliba,40
Megascops clarkii,21,Megascops clarkii,16
Megascops cooperi,28,Megascops cooperi,6
Megascops gilesi,35,Megascops gilesi,1
Megascops guatemalae,32,Megascops guatemalae,51
Megascops hoyi,23,Megascops hoyi,26
Megascops ingens,80,Megascops ingens,29
Megascops kennicottii,173,Megascops kennicottii,48
Megascops koepckeae,57,Megascops koepckeae,12
Megascops marshalli,22,Megascops marshalli,15
Megascops nudipes,16,Megascops nudipes,7
Megascops petersoni,37,Megascops petersoni,18
Megascops roboratus,49,Megascops roboratus,12
Megascops roraimae,64,Megascops roraimae,1
Megascops sanctaecatarinae,52,Megascops sanctaecatarinae,14
Megascops seductus,8,Megascops seductus,0
Megascops trichopsis,79,Megascops trichopsis,12
Megascops watsonii,166,Megascops watsonii,36
Megastictus margaritatus,50,Megastictus margaritatus,12
Megatriorchis doriae,2,Megatriorchis doriae,1
Megaxenops parnaguae,52,Megaxenops parnaguae,16
Megazosterops palauensis,5,Megazosterops palauensis,0
Meiglyptes jugularis,4,Meiglyptes jugularis,1
Meiglyptes tristis,24,Meiglyptes tristis,26
Meiglyptes tukki,45,Meiglyptes tukki,11
Melaenornis annamarulae,0,Melaenornis annamarulae,0
Melaenornis ardesiacus,7,Melaenornis ardesiacus,7
Melaenornis brunneus,0,Melaenornis brunneus,4
Melaenornis chocolatinus,9,Melaenornis chocolatinus,8
Melaenornis edolioides,21,Melaenornis edolioides,14
Melaenornis fischeri,20,Melaenornis fischeri,4
Melaenornis herero,3,Melaenornis herero,5
Melaenornis pammelaina,20,Melaenornis pammelaina,5
Melaenornis semipartitus,5,Melaenornis semipartitus,6
Melaenornis silens,40,Melaenornis silens,24
Melampitta gigantea,10,Melampitta gigantea,10
Melampitta lugubris,34,Melampitta lugubris,13
Melamprosops phaeosoma,0,Melamprosops phaeosoma,17
Melanerpes aurifrons,113,Melanerpes aurifrons,67
Melanerpes cactorum,23,Melanerpes cactorum,24
Melanerpes candidus,80,Melanerpes candidus,28
Melanerpes carolinus,186,Melanerpes carolinus,252
Melanerpes chrysauchen,15,Melanerpes chrysauchen,11
Melanerpes chrysogenys,59,Melanerpes chrysogenys,208
Melanerpes cruentatus,112,Melanerpes cruentatus,31
Melanerpes erythrocephalus,93,Melanerpes erythrocephalus,33
Melanerpes flavifrons,56,Melanerpes flavifrons,16
Melanerpes formicivorus,234,Melanerpes formicivorus,159
Melanerpes herminieri,4,Melanerpes herminieri,9
Melanerpes hoffmannii,42,Melanerpes hoffmannii,23
Melanerpes hypopolius,12,Melanerpes hypopolius,16
Melanerpes lewis,38,Melanerpes lewis,26
Melanerpes portoricensis,16,Melanerpes portoricensis,18
Melanerpes pucherani,35,Melanerpes pucherani,34
Melanerpes pulcher,6,Melanerpes pulcher,0
Melanerpes pygmaeus,16,Melanerpes pygmaeus,28
Melanerpes radiolatus,7,Melanerpes radiolatus,14
Melanerpes rubricapillus,86,Melanerpes rubricapillus,19
Melanerpes striatus,25,Melanerpes striatus,21
Melanerpes superciliaris,11,Melanerpes superciliaris,18
Melanerpes uropygialis,115,Melanerpes uropygialis,29
Melaniparus afer,29,Melaniparus afer,9
Melaniparus albiventris,24,Melaniparus albiventris,4
Melaniparus carpi,6,Melaniparus carpi,3
Melaniparus cinerascens,46,Melaniparus cinerascens,13
Melaniparus fasciiventer,6,Melaniparus fasciiventer,11
Melaniparus fringillinus,8,Melaniparus fringillinus,6
Melaniparus funereus,12,Melaniparus funereus,4
Melaniparus griseiventris,10,Melaniparus griseiventris,3
Melaniparus guineensis,13,Melaniparus guineensis,9
Melaniparus leucomelas,18,Melaniparus leucomelas,44
Melaniparus leuconotus,14,Melaniparus leuconotus,6
Melaniparus niger,36,Melaniparus niger,14
Melaniparus rufiventris,16,Melaniparus rufiventris,14
Melaniparus thruppi,17,Melaniparus thruppi,4
Melanitta americana,26,Melanitta americana,1
Melanitta deglandi,1,Melanitta deglandi,0
Melanitta fusca,21,Melanitta fusca,14
Melanitta nigra,179,Melanitta nigra,16
Melanitta perspicillata,20,Melanitta perspicillata,10
Melanitta stejnegeri,NA,Melanitta stejnegeri,0
Melanocharis arfakiana,7,Melanocharis arfakiana,0
Melanocharis crassirostris,1,Melanocharis crassirostris,0
Melanocharis longicauda,6,Melanocharis longicauda,0
Melanocharis nigra,8,Melanocharis nigra,23
Melanocharis striativentris,0,Melanocharis striativentris,0
Melanocharis versteri,1,Melanocharis versteri,6
Melanochlora sultanea,64,Melanochlora sultanea,15
Melanocorypha bimaculata,18,Melanocorypha bimaculata,8
Melanocorypha calandra,148,Melanocorypha calandra,6
Melanocorypha maxima,16,Melanocorypha maxima,5
Melanocorypha mongolica,33,Melanocorypha mongolica,12
Melanocorypha yeltoniensis,11,Melanocorypha yeltoniensis,4
Melanodera melanodera,10,Melanodera melanodera,20
Melanodera xanthogramma,34,Melanodera xanthogramma,6
Melanodryas cucullata,14,Melanodryas cucullata,26
Melanodryas vittata,12,Melanodryas vittata,8
Melanopareia elegans,53,Melanopareia elegans,14
Melanopareia maranonica,38,Melanopareia maranonica,3
Melanopareia maximiliani,41,Melanopareia maximiliani,7
Melanopareia torquata,48,Melanopareia torquata,9
Melanoperdix niger,3,Melanoperdix niger,1
Melanoptila glabrirostris,41,Melanoptila glabrirostris,23
Melanorectes nigrescens,18,Melanorectes nigrescens,34
Melanospiza bicolor,55,Melanospiza bicolor,99
Melanospiza richardsoni,4,Melanospiza richardsoni,35
Melanotis caerulescens,188,Melanotis caerulescens,24
Melanotis hypoleucus,41,Melanotis hypoleucus,8
Meleagris gallopavo,86,Meleagris gallopavo,284962
Meleagris ocellata,11,Meleagris ocellata,12
Meliarchus sclateri,28,Meliarchus sclateri,7
Melichneutes robustus,2,Melichneutes robustus,2
Melidectes belfordi,34,Melidectes belfordi,7
Melidectes foersteri,2,Melidectes foersteri,1
Melidectes fuscus,2,Melidectes fuscus,3
Melidectes leucostephes,9,Melidectes leucostephes,1
Melidectes nouhuysi,0,Melidectes nouhuysi,1
Melidectes ochromelas,6,Melidectes ochromelas,4
Melidectes princeps,0,Melidectes princeps,3
Melidectes rufocrissalis,15,Melidectes rufocrissalis,3
Melidectes torquatus,13,Melidectes torquatus,4
Melidora macrorrhina,38,Melidora macrorrhina,8
Melierax canorus,9,Melierax canorus,5
Melierax metabates,7,Melierax metabates,1
Melierax poliopterus,6,Melierax poliopterus,2
Melignomon eisentrauti,4,Melignomon eisentrauti,1
Melignomon zenkeri,0,Melignomon zenkeri,5
Melilestes megarhynchus,18,Melilestes megarhynchus,5
Meliphacator provocator,8,Meliphacator provocator,4
Meliphaga albilineata,7,Meliphaga albilineata,2
Meliphaga albonotata,3,Meliphaga albonotata,6
Meliphaga analoga,4,Meliphaga analoga,6
Meliphaga aruensis,4,Meliphaga aruensis,5
Meliphaga cinereifrons,1,Meliphaga cinereifrons,6
Meliphaga flavirictus,3,Meliphaga flavirictus,2
Meliphaga fordiana,5,Meliphaga fordiana,2
Meliphaga gracilis,33,Meliphaga gracilis,116
Meliphaga lewinii,56,Meliphaga lewinii,12
Meliphaga mimikae,0,Meliphaga mimikae,2
Meliphaga montana,1,Meliphaga montana,3
Meliphaga notata,35,Meliphaga notata,109
Meliphaga orientalis,7,Meliphaga orientalis,2
Meliphaga reticulata,8,Meliphaga reticulata,2
Meliphaga vicina,5,Meliphaga vicina,1
Melipotes ater,2,Melipotes ater,1
Melipotes carolae,0,Melipotes carolae,0
Melipotes fumigatus,11,Melipotes fumigatus,7
Melipotes gymnops,2,Melipotes gymnops,1
Melithreptus affinis,11,Melithreptus affinis,19
Melithreptus albogularis,46,Melithreptus albogularis,148
Melithreptus brevirostris,16,Melithreptus brevirostris,30
Melithreptus chloropsis,3,Melithreptus chloropsis,0
Melithreptus gularis,8,Melithreptus gularis,28
Melithreptus lunatus,15,Melithreptus lunatus,66
Melithreptus validirostris,17,Melithreptus validirostris,19
Melitograis gilolensis,5,Melitograis gilolensis,3
Mellisuga helenae,13,Mellisuga helenae,1
Mellisuga minima,9,Mellisuga minima,16
Melocichla mentalis,55,Melocichla mentalis,23
Melopsittacus undulatus,23,Melopsittacus undulatus,33122
Melopyrrha nigra,6,Melopyrrha nigra,6
Melopyrrha portoricensis,16,Melopyrrha portoricensis,20
Melopyrrha violacea,9,Melopyrrha violacea,37
Melospiza georgiana,171,Melospiza georgiana,32
Melospiza lincolnii,232,Melospiza lincolnii,36
Melospiza melodia,945,Melospiza melodia,1226
Melozone aberti,107,Melozone aberti,20
Melozone albicollis,50,Melozone albicollis,24
Melozone biarcuata,19,Melozone biarcuata,41
Melozone cabanisi,14,Melozone cabanisi,0
Melozone crissalis,113,Melozone crissalis,36
Melozone fusca,218,Melozone fusca,69
Melozone kieneri,35,Melozone kieneri,19
Melozone leucotis,27,Melozone leucotis,96
Mentrocrex beankaensis,7,Mentrocrex beankaensis,6
Mentrocrex kioloides,11,Mentrocrex kioloides,13
