GenBankID,GB_Nucleotide_Seqs,GenBank_Name,GenBank_Group,EBirdClements_Names,Ebird_Group,Clements_Order,Clements_Family,Reconciliation,IUCN_Status
387803,3,Accipiter_ovampensis,species,Accipiter_ovampensis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
387804,4,Accipiter_poliocephalus,species,Accipiter_poliocephalus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
387805,2,Accipiter_poliogaster,species,Accipiter_poliogaster,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Near Threatened
N/A,N/A,N/A,N/A,Accipiter_princeps,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Vulnerable
N/A,N/A,N/A,N/A,Accipiter_rhodogaster,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
N/A,N/A,N/A,N/A,Accipiter_rufitorques,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
518696,6,Accipiter_rufiventris,species,Accipiter_rufiventris,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
387806,10,Accipiter_soloensis,species,Accipiter_soloensis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
56330,62,Accipiter_striatus,species,Accipiter_striatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
56255,12,Accipiter_superciliosus,species,Accipiter_superciliosus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
387808,15,Accipiter_tachiro,species,Accipiter_tachiro,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
387809,5,Accipiter_toussenelii,species,Accipiter_toussenelii,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
N/A,N/A,N/A,N/A,Accipiter_trinotatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
210844,10,Accipiter_trivirgatus,species,Accipiter_trivirgatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
387810,11,Accipiter_virgatus,species,Accipiter_virgatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
866358,6,Aceros_nipalensis,species,Aceros_nipalensis,species,Bucerotiformes,Bucerotidae (Hornbills),,Vulnerable
315540,2,Achaetops_pycnopygius,species,Achaetops_pycnopygius,species,Passeriformes,Macrosphenidae (African Warblers),,Least Concern
513298,7,Acridotheres_albocinctus,species,Acridotheres_albocinctus,species,Passeriformes,Sturnidae (Starlings),,Least Concern
513302,8,Sturnus_burmannicus,species,Acridotheres_burmannicus,species,Passeriformes,Sturnidae (Starlings),,Least Concern
513299,11,Acridotheres_cinereus,species,Acridotheres_cinereus,species,Passeriformes,Sturnidae (Starlings),,Vulnerable
451382,22,Acridotheres_cristatellus,species,Acridotheres_cristatellus,species,Passeriformes,Sturnidae (Starlings),,Least Concern
245038,18,Acridotheres_fuscus,species,Acridotheres_fuscus,species,Passeriformes,Sturnidae (Starlings),,Least Concern
451383,10,Acridotheres_ginginianus,species,Acridotheres_ginginianus,species,Passeriformes,Sturnidae (Starlings),,Least Concern
451384,13,Acridotheres_grandis,species,Acridotheres_grandis,species,Passeriformes,Sturnidae (Starlings),,Least Concern
451385,17,Acridotheres_javanicus,species,Acridotheres_javanicus,species,Passeriformes,Sturnidae (Starlings),,Vulnerable
513300,9,Acridotheres_melanopterus,species,Acridotheres_melanopterus,species,Passeriformes,Sturnidae (Starlings),,Critically Endangered
279927,87,Acridotheres_tristis,species,Acridotheres_tristis,species,Passeriformes,Sturnidae (Starlings),,Least Concern
589931,5,Acrobatornis_fonsecai,species,Acrobatornis_fonsecai,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),,Vulnerable
435336,4,Acrocephalus_aequinoctialis,species,Acrocephalus_aequinoctialis,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Endangered
68476,48,Acrocephalus_agricola,species,Acrocephalus_agricola,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
128140,9,Acrocephalus_agricola_agricola,subspecies,Acrocephalus_agricola,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),split,Least Concern
1765761,17,Acrocephalus_agricola_capistrata,subspecies,Acrocephalus_agricola,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),split,Least Concern
128141,23,Acrocephalus_agricola_septimus,subspecies,Acrocephalus_agricola,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),split,Least Concern
39621,1175,Acrocephalus_arundinaceus,species,Acrocephalus_arundinaceus,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
N/A,N/A,N/A,N/A,Acrocephalus_astrolabii,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Extinct
435339,12,Acrocephalus_atyphus,species,Acrocephalus_atyphus,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
68484,50,Acrocephalus_australis,species,Acrocephalus_australis,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
68472,29,Acrocephalus_baeticatus,species,Acrocephalus_baeticatus,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,NoBLIname
68469,37,Acrocephalus_bistrigiceps,species,Acrocephalus_bistrigiceps,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
126873,50,Acrocephalus_brevipennis,species,Acrocephalus_brevipennis,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Vulnerable
435337,9,Acrocephalus_caffer,species,Acrocephalus_caffer,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Vulnerable
126874,21,Acrocephalus_concinens,species,Acrocephalus_concinens,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
68474,222,Acrocephalus_dumetorum,species,Acrocephalus_dumetorum,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
435335,0,Acrocephalus_familiaris,species,Acrocephalus_familiaris,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Critically Endangered
