no.Xeno-Canto,Common name in Xeno-canto,Scientific name in Xeno-canto,Status,No. Recordings,No. Background,matched to eBird/Clements taxa,,,,no.Clements,English name,scientific name
111,Reunion Sheldgoose,Alopochen kervazoi,Extinct,0,0,Alopochen kervazoi,,,,111,Mauritius Shelduck,Alopochen mauritiana
112,Orinoco Goose,Neochen jubata,,28,3,Oressochen jubatus,,,,112,Reunion Shelduck,Alopochen kervazoi
113,Andean Goose,Chloephaga melanoptera,,46,1,Oressochen melanopterus,,,,113,Ruddy Shelduck,Tadorna ferruginea
114,Upland Goose,Chloephaga picta,,27,1,Chloephaga picta,,,,114,South African Shelduck,Tadorna cana
115,Kelp Goose,Chloephaga hybrida,,7,3,Chloephaga hybrida,,,,115,Australian Shelduck,Tadorna tadornoides
116,Ashy-headed Goose,Chloephaga poliocephala,,6,1,Chloephaga poliocephala,,,,116,Paradise Shelduck,Tadorna variegata
117,Ruddy-headed Goose,Chloephaga rubidiceps,,10,0,Chloephaga rubidiceps,,,,117,Common Shelduck,Tadorna tadorna
118,Raja Shelduck,Radjah radjah,,13,0,Radjah radjah,,,,118,Crested Shelduck,Tadorna cristata
119,Common Shelduck,Tadorna tadorna,,204,188,Tadorna tadorna,,,,119,Spur-winged Goose,Plectropterus gambensis
120,Ruddy Shelduck,Tadorna ferruginea,,133,79,Tadorna ferruginea,,,,120,Flying Steamer-Duck,Tachyeres patachonicus
121,South African Shelduck,Tadorna cana,,20,9,Tadorna cana,,,,121,Flightless Steamer-Duck,Tachyeres pteneres
122,Australian Shelduck,Tadorna tadornoides,,12,4,Tadorna tadornoides,,,,122,Falkland Steamer-Duck,Tachyeres brachypterus
123,Paradise Shelduck,Tadorna variegata,,16,8,Tadorna variegata,,,,123,White-headed Steamer-Duck,Tachyeres leucocephalus
124,Crested Shelduck,Tadorna cristata,Extinct,0,0,Tadorna cristata,,,,124,Crested Duck,Lophonetta specularioides
125,Pink-eared Duck,Malacorhynchus membranaceus,,5,2,Malacorhynchus membranaceus,,,,125,Spectacled Duck,Speculanas specularis
126,Salvadori's Teal,Salvadorina waigiuensis,,2,0,Salvadorina waigiuensis,,,,126,Muscovy Duck,Cairina moschata
127,Muscovy Duck,Cairina moschata,,27,4,Cairina moschata,,,,127,Green Pygmy-Goose,Nettapus pulchellus
128,White-winged Duck,Asarcornis scutulata,,4,0,Asarcornis scutulata,,,,128,Cotton Pygmy-Goose,Nettapus coromandelianus
129,Hartlaub's Duck,Pteronetta hartlaubii,,1,0,Pteronetta hartlaubii,,,,129,African Pygmy-Goose,Nettapus auritus
130,Wood Duck,Aix sponsa,,68,33,Aix sponsa,,,,130,Ringed Teal,Callonetta leucophrys
131,Mandarin Duck,Aix galericulata,,75,1,Aix galericulata,,,,131,Wood Duck,Aix sponsa
132,Maned Duck,Chenonetta jubata,,17,8,Chenonetta jubata,,,,132,Mandarin Duck,Aix galericulata
133,African Pygmy Goose,Nettapus auritus,,13,0,Nettapus auritus,,,,133,Maned Duck,Chenonetta jubata
134,Cotton Pygmy Goose,Nettapus coromandelianus,,7,1,Nettapus coromandelianus,,,,134,Finsch's Duck,Chenonetta finschi
135,Green Pygmy Goose,Nettapus pulchellus,,3,0,Nettapus pulchellus,,,,135,Brazilian Teal,Amazonetta brasiliensis
136,Brazilian Teal,Amazonetta brasiliensis,,50,5,Amazonetta brasiliensis,,,,136,Blue Duck,Hymenolaimus malacorhynchos
137,Ringed Teal,Callonetta leucophrys,,7,1,Callonetta leucophrys,,,,137,Torrent Duck,Merganetta armata
