no.Xeno-Canto,Common name in Xeno-canto,Scientific name in Xeno-canto,Status,No. Recordings,No. Background,matched to eBird/Clements taxa,,,,no.Clements,English name,scientific name
4767,Bahia Spinetail,Synallaxis cinerea,,42,13,Synallaxis cinerea,,,,4767,Diademed Tapaculo,Scytalopus schulenbergi
4768,Pinto's Spinetail,Synallaxis infuscata,,32,8,Synallaxis infuscata,,,,4768,Rufous-capped Antthrush,Formicarius colma
4769,Dusky Spinetail,Synallaxis moesta,,33,7,Synallaxis moesta,,,,4769,Black-faced Antthrush,Formicarius analis
4770,McConnell's Spinetail,Synallaxis macconnelli,,29,3,Synallaxis macconnelli,,,,4770,Rufous-fronted Antthrush,Formicarius rufifrons
4771,Cabanis's Spinetail,Synallaxis cabanisi,,30,4,Synallaxis cabanisi,,,,4771,Black-headed Antthrush,Formicarius nigricapillus
4772,Cinereous-breasted Spinetail,Synallaxis hypospodia,,52,7,Synallaxis hypospodia,,,,4772,Rufous-breasted Antthrush,Formicarius rufipectus
4773,Spix's Spinetail,Synallaxis spixi,,154,78,Synallaxis spixi,,,,4773,Short-tailed Antthrush,Chamaeza campanisona
4774,Dark-breasted Spinetail,Synallaxis albigularis,,81,72,Synallaxis albigularis,,,,4774,Striated Antthrush,Chamaeza nobilis
4775,Rio Orinoco Spinetail,Synallaxis beverlyae,,0,0,Synallaxis beverlyae,,,,4775,Such's Antthrush,Chamaeza meruloides
4776,Pale-breasted Spinetail,Synallaxis albescens,,245,89,Synallaxis albescens,,,,4776,Schwartz's Antthrush,Chamaeza turdina
4777,Sooty-fronted Spinetail,Synallaxis frontalis,,220,99,Synallaxis frontalis,,,,4777,Rufous-tailed Antthrush,Chamaeza ruficauda
4778,Azara's Spinetail,Synallaxis azarae,,354,340,Synallaxis azarae,,,,4778,Barred Antthrush,Chamaeza mollissima
4779,Apurimac Spinetail,Synallaxis courseni,,16,1,Synallaxis courseni,,,,4779,Tawny-throated Leaftosser,Sclerurus mexicanus
4780,White-whiskered Spinetail,Synallaxis candei,,38,1,Synallaxis candei,,,,4780,Short-billed Leaftosser,Sclerurus rufigularis
4781,Rufous-breasted Spinetail,Synallaxis erythrothorax,,28,3,Synallaxis erythrothorax,,,,4781,Scaly-throated Leaftosser,Sclerurus guatemalensis
4782,Hoary-throated Spinetail,Synallaxis kollari,,18,2,Synallaxis kollari,,,,4782,Black-tailed Leaftosser,Sclerurus caudacutus
4783,Blackish-headed Spinetail,Synallaxis tithys,,37,12,Synallaxis tithys,,,,4783,Gray-throated Leaftosser,Sclerurus albigularis
4784,Rusty-headed Spinetail,Synallaxis fuscorufa,,43,13,Synallaxis fuscorufa,,,,4784,Rufous-breasted Leaftosser,Sclerurus scansor
4785,Rufous Spinetail,Synallaxis unirufa,,139,53,Synallaxis unirufa,,,,4785,Coastal Miner,Geositta peruviana
4786,Black-throated Spinetail,Synallaxis castanea,,5,0,Synallaxis castanea,,,,4786,Slender-billed Miner,Geositta tenuirostris
4787,Stripe-breasted Spinetail,Synallaxis cinnamomea,,70,9,Synallaxis cinnamomea,,,,4787,Common Miner,Geositta cunicularia
4788,Ruddy Spinetail,Synallaxis rutilans,,95,16,Synallaxis rutilans,,,,4788,Puna Miner,Geositta punensis
4789,Chestnut-throated Spinetail,Synallaxis cherriei,,50,3,Synallaxis cherriei,,,,4789,Campo Miner,Geositta poeciloptera
4790,Rufous-rumped Antwren,Euchrepomis callinota,,24,3,Euchrepomis callinota,,,,4790,Thick-billed Miner,Geositta crassirostris
4791,Chestnut-shouldered Antwren,Euchrepomis humeralis,,29,11,Euchrepomis humeralis,,,,4791,Rufous-banded Miner,Geositta rufipennis
4792,Yellow-rumped Antwren,Euchrepomis sharpei,,8,1,Euchrepomis sharpei,,,,4792,Grayish Miner,Geositta maritima
4793,Ash-winged Antwren,Euchrepomis spodioptila,,36,17,Euchrepomis spodioptila,,,,4793,Short-billed Miner,Geositta antarctica
4794,Wing-banded Antbird,Myrmornis torquata,,41,1,Myrmornis torquata,,,,4794,Dark-winged Miner,Geositta saxicolina
4795,Spot-winged Antshrike,Pygiptila stellaris,,100,143,Pygiptila stellaris,,,,4795,Creamy-rumped Miner,Geositta isabellina
4796,Russet Antshrike,Thamnistes anabatinus,,52,11,Thamnistes anabatinus,,,,4796,Spot-throated Woodcreeper,Certhiasomus stictolaemus
4797,Rufescent Antshrike,Thamnistes rufescens,,3,0,Thamnistes rufescens,,,,4797,Olivaceous Woodcreeper,Sittasomus griseicapillus
4798,Dot-winged Antwren,Microrhopias quixensis,,204,109,Microrhopias quixensis,,,,4798,Long-tailed Woodcreeper,Deconychura longicauda
4799,Black Bushbird,Neoctantes niger,,35,2,Neoctantes niger,,,,4799,Tyrannine Woodcreeper,Dendrocincla tyrannina
4800,Recurve-billed Bushbird,Clytoctantes alixii,,35,5,Clytoctantes alixii,,,,4800,White-chinned Woodcreeper,Dendrocincla merula
4801,Rondonia Bushbird,Clytoctantes atrogularis,,10,0,Clytoctantes atrogularis,,,,4801,Ruddy Woodcreeper,Dendrocincla homochroa
4802,Checker-throated Antwren,Epinecrophylla fulviventris,,91,26,Epinecrophylla fulviventris,,,,4802,Tawny-winged Woodcreeper,Dendrocincla anabatina
4803,Brown-bellied Antwren,Epinecrophylla gutturalis,,26,5,Epinecrophylla gutturalis,,,,4803,Plain-brown Woodcreeper,Dendrocincla fuliginosa
4804,White-eyed Antwren,Epinecrophylla leucophthalma,,78,26,Epinecrophylla leucophthalma,,,,4804,Plain-winged Woodcreeper,Dendrocincla turdina
4805,Napo Stipple-throated Antwren,Epinecrophylla haematonota,,42,1,Epinecrophylla haematonota,,,,4805,Wedge-billed Woodcreeper,Glyphorynchus spirurus
4806,Negro Stipple-throated Antwren,Epinecrophylla pyrrhonota,,15,1,Epinecrophylla haematonota,,,,4806,Cinnamon-throated Woodcreeper,Dendrexetastes rufigula
4807,Madeira Stipple-throated Antwren,Epinecrophylla amazonica,,31,42,Epinecrophylla amazonica,,,,4807,Long-billed Woodcreeper,Nasica longirostris
4808,Yasuni Antwren,Epinecrophylla fjeldsaai,,27,2,Epinecrophylla haematonota,,,,4808,Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae
4809,Foothill Antwren,Epinecrophylla spodionota,,45,3,Epinecrophylla spodionota,,,,4809,Amazonian Barred-Woodcreeper,Dendrocolaptes certhia
4810,Ornate Antwren,Epinecrophylla ornata,,85,44,Epinecrophylla ornata,,,,4810,Black-banded Woodcreeper,Dendrocolaptes picumnus
4811,Rufous-tailed Antwren,Epinecrophylla erythrura,,22,5,Epinecrophylla erythrura,,,,4811,Hoffmanns's Woodcreeper,Dendrocolaptes hoffmannsi
4812,Stripe-backed Antbird,Myrmorchilus strigilatus,,89,106,Myrmorchilus strigilatus,,,,4812,Planalto Woodcreeper,Dendrocolaptes platyrostris
4813,Yapacana Antbird,Aprositornis disjuncta,,11,0,Aprositornis disjuncta,,,,4813,Bar-bellied Woodcreeper,Hylexetastes stresemanni
4814,Grey-bellied Antbird,Ammonastes pelzelni,,26,0,Ammonastes pelzelni,,,,4814,Red-billed Woodcreeper,Hylexetastes perrotii
4815,Black-throated Antbird,Myrmophylax atrothorax,,221,76,Myrmophylax atrothorax,,,,4815,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus
4816,Moustached Antwren,Myrmotherula ignota,,62,43,Myrmotherula ignota,,,,4816,Moustached Woodcreeper,Xiphocolaptes falcirostris
4817,Pygmy Antwren,Myrmotherula brachyura,,155,267,Myrmotherula brachyura,,,,4817,White-throated Woodcreeper,Xiphocolaptes albicollis
4818,Guianan Streaked Antwren,Myrmotherula surinamensis,,27,6,Myrmotherula surinamensis,,,,4818,Great Rufous Woodcreeper,Xiphocolaptes major
4819,Amazonian Streaked Antwren,Myrmotherula multostriata,,95,36,Myrmotherula multostriata,,,,4819,Striped Woodcreeper,Xiphorhynchus obsoletus
4820,Pacific Antwren,Myrmotherula pacifica,,54,59,Myrmotherula pacifica,,,,4820,Ceara Woodcreeper,Xiphorhynchus atlanticus
4821,Cherrie's Antwren,Myrmotherula cherriei,,52,2,Myrmotherula cherriei,,,,4821,Lesser Woodcreeper,Xiphorhynchus fuscus
4822,Klages's Antwren,Myrmotherula klagesi,,19,9,Myrmotherula klagesi,,,,4822,Chestnut-rumped Woodcreeper,Xiphorhynchus pardalotus
4823,Stripe-chested Antwren,Myrmotherula longicauda,,42,34,Myrmotherula longicauda,,,,4823,Ocellated Woodcreeper,Xiphorhynchus ocellatus
4824,Yellow-throated Antwren,Myrmotherula ambigua,,40,7,Myrmotherula ambigua,,,,4824,Elegant Woodcreeper,Xiphorhynchus elegans
4825,Sclater's Antwren,Myrmotherula sclateri,,61,119,Myrmotherula sclateri,,,,4825,Spix's Woodcreeper,Xiphorhynchus spixii
4826,White-flanked Antwren,Myrmotherula axillaris,,261,199,Myrmotherula axillaris,,,,4826,Cocoa Woodcreeper,Xiphorhynchus susurrans
4827,Silvery-flanked Antwren,Myrmotherula luctuosa,,83,39,Myrmotherula axillaris,,,,4827,Buff-throated Woodcreeper,Xiphorhynchus guttatus
4828,Slaty Antwren,Myrmotherula schisticolor,,60,28,Myrmotherula schisticolor,,,,4828,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster
4829,Rio Suno Antwren,Myrmotherula sunensis,,13,1,Myrmotherula sunensis,,,,4829,Black-striped Woodcreeper,Xiphorhynchus lachrymosus
4830,Salvadori's Antwren,Myrmotherula minor,,25,2,Myrmotherula minor,,,,4830,Spotted Woodcreeper,Xiphorhynchus erythropygius
4831,Long-winged Antwren,Myrmotherula longipennis,,81,71,Myrmotherula longipennis,,,,4831,Olive-backed Woodcreeper,Xiphorhynchus triangularis
4832,Band-tailed Antwren,Myrmotherula urosticta,,17,0,Myrmotherula urosticta,,,,4832,Straight-billed Woodcreeper,Dendroplex picus
4833,Ihering's Antwren,Myrmotherula iheringi,,31,9,Myrmotherula iheringi,,,,4833,Zimmer's Woodcreeper,Dendroplex kienerii
4834,Rio de Janeiro Antwren,Myrmotherula fluminensis,,0,0,Myrmotherula fluminensis,,,,4834,Red-billed Scythebill,Campylorhamphus trochilirostris
4835,Yungas Antwren,Myrmotherula grisea,,3,2,Myrmotherula grisea,,,,4835,Black-billed Scythebill,Campylorhamphus falcularius
4836,Unicolored Antwren,Myrmotherula unicolor,,68,18,Myrmotherula unicolor,,,,4836,Curve-billed Scythebill,Campylorhamphus procurvoides
4837,Alagoas Antwren,Myrmotherula snowi,,21,1,Myrmotherula snowi,,,,4837,Brown-billed Scythebill,Campylorhamphus pusillus
4838,Plain-winged Antwren,Myrmotherula behni,,12,0,Myrmotherula behni,,,,4838,Greater Scythebill,Drymotoxeres pucheranii
4839,Grey Antwren,Myrmotherula menetriesii,,125,115,Myrmotherula menetriesii,,,,4839,Scimitar-billed Woodcreeper,Drymornis bridgesii
4840,Leaden Antwren,Myrmotherula assimilis,,27,9,Myrmotherula assimilis,,,,4840,Streak-headed Woodcreeper,Lepidocolaptes souleyetii
4841,Streak-capped Antwren,Terenura maculata,,84,60,Terenura maculata,,,,4841,Narrow-billed Woodcreeper,Lepidocolaptes angustirostris
4842,Orange-bellied Antwren,Terenura sicki,,24,3,Terenura sicki,,,,4842,White-striped Woodcreeper,Lepidocolaptes leucogaster
4843,Black-and-white Antbird,Myrmochanes hemileucus,,32,9,Myrmochanes hemileucus,,,,4843,Spot-crowned Woodcreeper,Lepidocolaptes affinis
4844,Narrow-billed Antwren,Formicivora iheringi,,26,14,Formicivora iheringi,,,,4844,Montane Woodcreeper,Lepidocolaptes lacrymiger
4845,Black-hooded Antwren,Formicivora erythronotos,,41,3,Formicivora erythronotos,,,,4845,Scaled Woodcreeper,Lepidocolaptes squamatus
4846,Southern White-fringed Antwren,Formicivora grisea,,118,73,Formicivora grisea,,,,4846,Scalloped Woodcreeper,Lepidocolaptes falcinellus
4847,Northern White-fringed Antwren,Formicivora intermedia,,114,18,Formicivora grisea,,,,4847,Duida Woodcreeper,Lepidocolaptes duidae
4848,Serra Antwren,Formicivora serrana,,68,7,Formicivora serrana,,,,4848,Guianan Woodcreeper,Lepidocolaptes albolineatus
4849,Black-bellied Antwren,Formicivora melanogaster,,62,20,Formicivora melanogaster,,,,4849,Inambari Woodcreeper,Lepidocolaptes fatimalimae
4850,Rusty-backed Antwren,Formicivora rufa,,127,14,Formicivora rufa,,,,4850,Rondonia Woodcreeper,Lepidocolaptes fuscicapillus
4851,Sincora Antwren,Formicivora grantsaui,,17,0,Formicivora grantsaui,,,,4851,Layard's Woodcreeper,Lepidocolaptes layardi
4852,Marsh Antwren,Stymphalornis acutirostris,,40,0,Stymphalornis acutirostris,,,,4852,Slender-billed Xenops,Xenops tenuirostris
4853,Banded Antbird,Dichrozona cincta,,76,6,Dichrozona cincta,,,,4853,Plain Xenops,Xenops minutus
4854,Star-throated Antwren,Rhopias gularis,,127,36,Rhopias gularis,,,,4854,Streaked Xenops,Xenops rutilans
4855,Plain-throated Antwren,Isleria hauxwelli,,108,33,Isleria hauxwelli,,,,4855,Point-tailed Palmcreeper,Berlepschia rikeri
4856,Rufous-bellied Antwren,Isleria guttata,,36,0,Isleria guttata,,,,4856,Rufous-tailed Xenops,Microxenops milleri
4857,Dusky-throated Antshrike,Thamnomanes ardesiacus,,114,128,Thamnomanes ardesiacus,,,,4857,White-throated Treerunner,Pygarrhichas albogularis
4858,Saturnine Antshrike,Thamnomanes saturninus,,54,19,Thamnomanes saturninus,,,,4858,Rock Earthcreeper,Ochetorhynchus andaecola
4859,Cinereous Antshrike,Thamnomanes caesius,,184,178,Thamnomanes caesius,,,,4859,Straight-billed Earthcreeper,Ochetorhynchus ruficaudus
4860,Bluish-slate Antshrike,Thamnomanes schistogynus,,69,108,Thamnomanes schistogynus,,,,4860,Band-tailed Earthcreeper,Ochetorhynchus phoenicurus
4861,Pearly Antshrike,Megastictus margaritatus,,50,1,Megastictus margaritatus,,,,4861,Crag Chilia,Ochetorhynchus melanurus
4862,Bahia Antwren,Herpsilochmus pileatus,,32,9,Herpsilochmus pileatus,,,,4862,Buffy Tuftedcheek,Pseudocolaptes lawrencii
4863,Caatinga Antwren,Herpsilochmus sellowi,,42,11,Herpsilochmus sellowi,,,,4863,Streaked Tuftedcheek,Pseudocolaptes boissonneautii
4864,Black-capped Antwren,Herpsilochmus atricapillus,,109,156,Herpsilochmus atricapillus,,,,4864,Rusty-winged Barbtail,Premnornis guttuliger
4865,Aripuana Antwren,Herpsilochmus stotzi,,5,1,Herpsilochmus stotzi,,,,4865,Bolivian Earthcreeper,Tarphonomus harterti
4866,Predicted Antwren,Herpsilochmus praedictus,,12,2,Herpsilochmus praedictus,,,,4866,Chaco Earthcreeper,Tarphonomus certhioides
4867,Creamy-bellied Antwren,Herpsilochmus motacilloides,,13,3,Herpsilochmus motacilloides,,,,4867,Wing-banded Hornero,Furnarius figulus
4868,Ash-throated Antwren,Herpsilochmus parkeri,,22,1,Herpsilochmus parkeri,,,,4868,Pale-legged Hornero,Furnarius leucopus
4869,Spot-tailed Antwren,Herpsilochmus sticturus,,17,7,Herpsilochmus sticturus,,,,4869,Pale-billed Hornero,Furnarius torridus
4870,Dugand's Antwren,Herpsilochmus dugandi,,45,39,Herpsilochmus dugandi,,,,4870,Lesser Hornero,Furnarius minor
4871,Todd's Antwren,Herpsilochmus stictocephalus,,29,42,Herpsilochmus stictocephalus,,,,4871,Rufous Hornero,Furnarius rufus
4872,Spot-backed Antwren,Herpsilochmus dorsimaculatus,,85,31,Herpsilochmus dorsimaculatus,,,,4872,Crested Hornero,Furnarius cristatus
4873,Roraiman Antwren,Herpsilochmus roraimae,,23,0,Herpsilochmus roraimae,,,,4873,Sharp-tailed Streamcreeper,Lochmias nematura
4874,Pectoral Antwren,Herpsilochmus pectoralis,,28,6,Herpsilochmus pectoralis,,,,4874,Wren-like Rushbird,Phleocryptes melanops
4875,Large-billed Antwren,Herpsilochmus longirostris,,58,30,Herpsilochmus longirostris,,,,4875,Curve-billed Reedhaunter,Limnornis curvirostris
4876,Ancient Antwren,Herpsilochmus gentryi,,22,16,Herpsilochmus gentryi,,,,4876,Striated Earthcreeper,Geocerthia serrana
4877,Yellow-breasted Antwren,Herpsilochmus axillaris,,47,10,Herpsilochmus axillaris,,,,4877,Patagonian Forest Earthcreeper,Upucerthia saturatior
4878,Rufous-winged Antwren,Herpsilochmus rufimarginatus,,252,350,Herpsilochmus rufimarginatus,,,,4878,Scale-throated Earthcreeper,Upucerthia dumetaria
4879,Spot-breasted Antvireo,Dysithamnus stictothorax,,110,155,Dysithamnus stictothorax,,,,4879,White-throated Earthcreeper,Upucerthia albigula
4880,Plain Antvireo,Dysithamnus mentalis,,400,338,Dysithamnus mentalis,,,,4880,Buff-breasted Earthcreeper,Upucerthia validirostris
4881,Streak-crowned Antvireo,Dysithamnus striaticeps,,13,5,Dysithamnus striaticeps,,,,4881,Long-tailed Cinclodes,Cinclodes pabsti
4882,Spot-crowned Antvireo,Dysithamnus puncticeps,,63,33,Dysithamnus puncticeps,,,,4882,Buff-winged Cinclodes,Cinclodes fuscus
4883,Rufous-backed Antvireo,Dysithamnus xanthopterus,,56,19,Dysithamnus xanthopterus,,,,4883,Blackish Cinclodes,Cinclodes antarcticus
4884,Bicolored Antvireo,Dysithamnus occidentalis,,50,0,Dysithamnus occidentalis,,,,4884,Cordoba Cinclodes,Cinclodes comechingonus
4885,Plumbeous Antvireo,Dysithamnus plumbeus,,20,3,Dysithamnus plumbeus,,,,4885,Chestnut-winged Cinclodes,Cinclodes albidiventris
4886,White-streaked Antvireo,Dysithamnus leucostictus,,31,14,Dysithamnus leucostictus,,,,4886,Olrog's Cinclodes,Cinclodes olrogi
4887,Collared Antshrike,Thamnophilus bernardi,,73,52,Thamnophilus bernardi,,,,4887,Cream-winged Cinclodes,Cinclodes albiventris
4888,Black-backed Antshrike,Thamnophilus melanonotus,,35,0,Thamnophilus melanonotus,,,,4888,Gray-flanked Cinclodes,Cinclodes oustaleti
4889,Band-tailed Antshrike,Thamnophilus melanothorax,,11,1,Thamnophilus melanothorax,,,,4889,Stout-billed Cinclodes,Cinclodes excelsior
4890,Barred Antshrike,Thamnophilus doliatus,,341,410,Thamnophilus doliatus,,,,4890,Royal Cinclodes,Cinclodes aricomae
4891,Chapman's Antshrike,Thamnophilus zarumae,,23,4,Thamnophilus zarumae,,,,4891,White-bellied Cinclodes,Cinclodes palliatus
4892,Bar-crested Antshrike,Thamnophilus multistriatus,,94,53,Thamnophilus multistriatus,,,,4892,White-winged Cinclodes,Cinclodes atacamensis
4893,Lined Antshrike,Thamnophilus tenuepunctatus,,67,38,Thamnophilus tenuepunctatus,,,,4893,Dark-bellied Cinclodes,Cinclodes patagonicus
4894,Chestnut-backed Antshrike,Thamnophilus palliatus,,111,150,Thamnophilus palliatus,,,,4894,Surf Cinclodes,Cinclodes taczanowskii
4895,Black-hooded Antshrike,Thamnophilus bridgesi,,56,24,Thamnophilus bridgesi,,,,4895,Seaside Cinclodes,Cinclodes nigrofumosus
4896,Black Antshrike,Thamnophilus nigriceps,,34,9,Thamnophilus nigriceps,,,,4896,Dusky-cheeked Foliage-gleaner,Anabazenops dorsalis
4897,Cocha Antshrike,Thamnophilus praecox,,36,3,Thamnophilus praecox,,,,4897,White-collared Foliage-gleaner,Anabazenops fuscus
4898,Blackish-grey Antshrike,Thamnophilus nigrocinereus,,40,12,Thamnophilus nigrocinereus,,,,4898,Great Xenops,Megaxenops parnaguae
4899,Castelnau's Antshrike,Thamnophilus cryptoleucus,,31,7,Thamnophilus cryptoleucus,,,,4899,Pale-browed Treehunter,Cichlocolaptes leucophrus
4900,White-shouldered Antshrike,Thamnophilus aethiops,,170,106,Thamnophilus aethiops,,,,4900,Cryptic Treehunter,Cichlocolaptes mazarbarnetti
4901,Uniform Antshrike,Thamnophilus unicolor,,129,31,Thamnophilus unicolor,,,,4901,Sharp-billed Treehunter,Heliobletus contaminatus
4902,Plain-winged Antshrike,Thamnophilus schistaceus,,140,423,Thamnophilus schistaceus,,,,4902,Slaty-winged Foliage-gleaner,Philydor fuscipenne
4903,Mouse-colored Antshrike,Thamnophilus murinus,,148,122,Thamnophilus murinus,,,,4903,Rufous-rumped Foliage-gleaner,Philydor erythrocercum
4904,Upland Antshrike,Thamnophilus aroyae,,9,7,Thamnophilus aroyae,,,,4904,Chestnut-winged Foliage-gleaner,Philydor erythropterum
4905,Black-crowned Antshrike,Thamnophilus atrinucha,,193,177,Thamnophilus atrinucha,,,,4905,Alagoas Foliage-gleaner,Philydor novaesi
4906,Northern Slaty Antshrike,Thamnophilus punctatus,,133,40,Thamnophilus punctatus,,,,4906,Black-capped Foliage-gleaner,Philydor atricapillus
4907,Natterer's Slaty Antshrike,Thamnophilus stictocephalus,,61,24,Thamnophilus stictocephalus,,,,4907,Buff-fronted Foliage-gleaner,Philydor rufum
4908,Bolivian Slaty Antshrike,Thamnophilus sticturus,,19,26,Thamnophilus sticturus,,,,4908,Cinnamon-rumped Foliage-gleaner,Philydor pyrrhodes
4909,Planalto Slaty Antshrike,Thamnophilus pelzelni,,89,134,Thamnophilus pelzelni,,,,4909,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps
4910,Sooretama Slaty Antshrike,Thamnophilus ambiguus,,88,51,Thamnophilus ambiguus,,,,4910,Montane Foliage-gleaner,Anabacerthia striaticollis
4911,Amazonian Antshrike,Thamnophilus amazonicus,,119,55,Thamnophilus amazonicus,,,,4911,Rufous-tailed Foliage-gleaner,Anabacerthia ruficaudata
4912,Acre Antshrike,Thamnophilus divisorius,,5,0,Thamnophilus divisorius,,,,4912,White-browed Foliage-gleaner,Anabacerthia amaurotis
4913,Streak-backed Antshrike,Thamnophilus insignis,,16,0,Thamnophilus insignis,,,,4913,Ochre-breasted Foliage-gleaner,Anabacerthia lichtensteini
4914,Variable Antshrike,Thamnophilus caerulescens,,236,208,Thamnophilus caerulescens,,,,4914,Guttulate Foliage-gleaner,Syndactyla guttulata
4915,Rufous-winged Antshrike,Thamnophilus torquatus,,59,13,Thamnophilus torquatus,,,,4915,Lineated Foliage-gleaner,Syndactyla subalaris
4916,Rufous-capped Antshrike,Thamnophilus ruficapillus,,122,22,Thamnophilus ruficapillus,,,,4916,Buff-browed Foliage-gleaner,Syndactyla rufosuperciliata
4917,Black-crested Antshrike,Sakesphorus canadensis,,150,48,Sakesphorus canadensis,,,,4917,Rufous-necked Foliage-gleaner,Syndactyla ruficollis
4918,Silvery-cheeked Antshrike,Sakesphorus cristatus,,42,34,Sakesphorus cristatus,,,,4918,Russet-mantled Foliage-gleaner,Syndactyla dimidiata
4919,Glossy Antshrike,Sakesphorus luctuosus,,50,38,Sakesphorus luctuosus,,,,4919,White-throated Foliage-gleaner,Syndactyla roraimae
4920,White-bearded Antshrike,Biatas nigropectus,,77,25,Biatas nigropectus,,,,4920,Peruvian Recurvebill,Syndactyla ucayalae
4921,Fasciated Antshrike,Cymbilaimus lineatus,,186,305,Cymbilaimus lineatus,,,,4921,Bolivian Recurvebill,Syndactyla striata
4922,Bamboo Antshrike,Cymbilaimus sanctaemariae,,48,69,Cymbilaimus sanctaemariae,,,,4922,Chestnut-winged Hookbill,Ancistrops strigilatus
4923,Great Antshrike,Taraba major,,361,294,Taraba major,,,,4923,Chestnut-capped Foliage-gleaner,Clibanornis rectirostris
4924,Large-tailed Antshrike,Mackenziaena leachii,,82,17,Mackenziaena leachii,,,,4924,Canebrake Groundcreeper,Clibanornis dendrocolaptoides
4925,Tufted Antshrike,Mackenziaena severa,,167,84,Mackenziaena severa,,,,4925,Henna-hooded Foliage-gleaner,Clibanornis erythrocephalus
4926,Black-throated Antshrike,Frederickena viridis,,28,8,Frederickena viridis,,,,4926,Ruddy Foliage-gleaner,Clibanornis rubiginosus
4927,Undulated Antshrike,Frederickena unduliger,,13,0,Frederickena unduliger,,,,4927,Santa Marta Foliage-gleaner,Clibanornis rufipectus
4928,Fulvous Antshrike,Frederickena fulva,,54,15,Frederickena fulva,,,,4928,Uniform Treehunter,Thripadectes ignobilis
4929,Spot-backed Antshrike,Hypoedaleus guttatus,,145,94,Hypoedaleus guttatus,,,,4929,Flammulated Treehunter,Thripadectes flammulatus
4930,Giant Antshrike,Batara cinerea,,177,65,Batara cinerea,,,,4930,Rufous-backed Treehunter,Thripadectes scrutator
4931,Speckled Antshrike,Xenornis setifrons,,14,1,Xenornis setifrons,,,,4931,Striped Treehunter,Thripadectes holostictus
4932,White-plumed Antbird,Pithys albifrons,,65,13,Pithys albifrons,,,,4932,Streak-capped Treehunter,Thripadectes virgaticeps
4933,White-masked Antbird,Pithys castaneus,,16,1,Pithys castaneus,,,,4933,Streak-breasted Treehunter,Thripadectes rufobrunneus
4934,Ocellated Antbird,Phaenostictus mcleannani,,58,11,Phaenostictus mcleannani,,,,4934,Black-billed Treehunter,Thripadectes melanorhynchus
4935,Bicolored Antbird,Gymnopithys bicolor,,83,63,Gymnopithys bicolor,,,,4935,Chestnut-crowned Foliage-gleaner,Automolus rufipileatus
4936,White-cheeked Antbird,Gymnopithys leucaspis,,49,19,Gymnopithys leucaspis,,,,4936,Brown-rumped Foliage-gleaner,Automolus melanopezus
4937,Rufous-throated Antbird,Gymnopithys rufigula,,46,6,Gymnopithys rufigula,,,,4937,Buff-throated Foliage-gleaner,Automolus ochrolaemus
4938,White-throated Antbird,Oneillornis salvini,,41,25,Oneillornis salvini,,,,4938,Chiriqui Foliage-gleaner,Automolus exsertus
4939,Lunulated Antbird,Oneillornis lunulatus,,19,1,Oneillornis lunulatus,,,,4939,Striped Woodhaunter,Automolus subulatus
4940,Bare-eyed Antbird,Rhegmatorhina gymnops,,30,5,Rhegmatorhina gymnops,,,,4940,Olive-backed Foliage-gleaner,Automolus infuscatus
4941,Harlequin Antbird,Rhegmatorhina berlepschi,,13,1,Rhegmatorhina berlepschi,,,,4941,Para Foliage-gleaner,Automolus paraensis
4942,White-breasted Antbird,Rhegmatorhina hoffmannsi,,18,0,Rhegmatorhina hoffmannsi,,,,4942,Pernambuco Foliage-gleaner,Automolus lammi
4943,Chestnut-crested Antbird,Rhegmatorhina cristata,,13,0,Rhegmatorhina cristata,,,,4943,White-eyed Foliage-gleaner,Automolus leucophthalmus
4944,Hairy-crested Antbird,Rhegmatorhina melanosticta,,58,8,Rhegmatorhina melanosticta,,,,4944,Spotted Barbtail,Premnoplex brunnescens
4945,Black-spotted Bare-eye,Phlegopsis nigromaculata,,97,46,Phlegopsis nigromaculata,,,,4945,White-throated Barbtail,Premnoplex tatei
4946,Reddish-winged Bare-eye,Phlegopsis erythroptera,,26,2,Phlegopsis erythroptera,,,,4946,Beautiful Treerunner,Margarornis bellulus
4947,Pale-faced Bare-eye,Phlegopsis borbae,,8,0,Phlegopsis borbae,,,,4947,Ruddy Treerunner,Margarornis rubiginosus
4948,Common Scale-backed Antbird,Willisornis poecilinotus,,138,72,Willisornis poecilinotus,,,,4948,Fulvous-dotted Treerunner,Margarornis stellatus
4949,Xingu Scale-backed Antbird,Willisornis vidua,,36,4,Willisornis vidua,,,,4949,Pearled Treerunner,Margarornis squamiger
4950,Ferruginous Antbird,Drymophila ferruginea,,145,309,Drymophila ferruginea,,,,4950,Thorn-tailed Rayadito,Aphrastura spinicauda
4951,Bertoni's Antbird,Drymophila rubricollis,,105,37,Drymophila rubricollis,,,,4951,Masafuera Rayadito,Aphrastura masafuerae
4952,Rufous-tailed Antbird,Drymophila genei,,65,16,Drymophila genei,,,,4952,Des Murs's Wiretail,Sylviorthorhynchus desmursii
4953,Ochre-rumped Antbird,Drymophila ochropyga,,129,49,Drymophila ochropyga,,,,4953,Tawny Tit-Spinetail,Sylviorthorhynchus yanacensis
