GenBank_taxid,GenBank_name,GenBank_group,eBirdClements2022_Names,eBird_Group,Clements_Order,Clements_Family,Reconciliation
330768,Tickellia hodgsoni,species,Tickellia hodgsoni,species,Passeriformes,Scotocercidae (Bush Warblers and Allies),
2767390,Tigriornis leucolopha,species,Tigriornis leucolopha,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",
488314,Tigrisoma fasciatum,species,Tigrisoma fasciatum,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",
110694,Tigrisoma lineatum,species,Tigrisoma lineatum,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",
452008,Tigrisoma mexicanum,species,Tigrisoma mexicanum,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",
381439,Tijuca atra,species,Lipaugus ater,species,Passeriformes,Cotingidae (Cotingas),taxonomy
381440,Tijuca condita,species,Lipaugus conditus,species,Passeriformes,Cotingidae (Cotingas),taxonomy
1315742,Tilmatura dupontii,species,Tilmatura dupontii,species,Caprimulgiformes,Trochilidae (Hummingbirds),
201367,Timalia pileata,species,Timalia pileata,species,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",
266382,Timeliopsis fulvigula,species,Timeliopsis fulvigula,species,Passeriformes,Meliphagidae (Honeyeaters),
266383,Timeliopsis griseigula,species,Timeliopsis griseigula,species,Passeriformes,Meliphagidae (Honeyeaters),
1503223,Tinamidae sp.,species,,,,,unidentified
1068484,Tinamiformes sp. BOLD:AAE1945,species,,,,,unidentified
555360,Tinamotis ingoufi,species,Tinamotis ingoufi,species,Tinamiformes,Tinamidae (Tinamous),
555361,Tinamotis pentlandii,species,Tinamotis pentlandii,species,Tinamiformes,Tinamidae (Tinamous),
94827,Tinamus guttatus,species,Tinamus guttatus,species,Tinamiformes,Tinamidae (Tinamous),
30468,Tinamus major,species,Tinamus major,species,Tinamiformes,Tinamidae (Tinamous),
1109099,Tinamus major serratus,subspecies,Tinamus major serratus,subspecies,Tinamiformes,Tinamidae (Tinamous),
2710489,Tinamus osgoodi,species,Tinamus osgoodi,species,Tinamiformes,Tinamidae (Tinamous),
2496573,Tinamus solitarius,species,Tinamus solitarius,species,Tinamiformes,Tinamidae (Tinamous),
69492,Tinamus tao,species,Tinamus tao,species,Tinamiformes,Tinamidae (Tinamous),
114387,Tityra cayana,species,Tityra cayana,species,Passeriformes,Tityridae (Tityras and Allies),
114388,Tityra inquisitor,species,Tityra inquisitor,species,Passeriformes,Tityridae (Tityras and Allies),
254665,Tityra semifasciata,species,Tityra semifasciata,species,Passeriformes,Tityridae (Tityras and Allies),
1603878,Tmetothylacus tenellus,species,Tmetothylacus tenellus,species,Passeriformes,Motacillidae (Wagtails and Pipits),
175818,Tockus alboterminatus,species,Lophoceros alboterminatus,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303288,Tockus alboterminatus angolensis,subspecies,Lophoceros alboterminatus,species,Bucerotiformes,Bucerotidae (Hornbills),split
1303289,Tockus alboterminatus australis,subspecies,Lophoceros alboterminatus,species,Bucerotiformes,Bucerotidae (Hornbills),split
1303290,Tockus bradfieldi,species,Lophoceros bradfieldi,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
175819,Tockus deckeni,species,Tockus deckeni,species,Bucerotiformes,Bucerotidae (Hornbills),
81911,Tockus erythrorhynchus,species,Tockus erythrorhynchus,species,Bucerotiformes,Bucerotidae (Hornbills),
153639,Tockus erythrorhynchus damarensis,subspecies,Tockus damarensis,species,Bucerotiformes,Bucerotidae (Hornbills),split
173525,Tockus erythrorhynchus damarensis x Tockus rufirostris,subspecies,,,,,hybrid
153637,Tockus erythrorhynchus kempi,subspecies,Tockus kempi,species,Bucerotiformes,Bucerotidae (Hornbills),split
175821,Tockus fasciatus,species,Lophoceros fasciatus,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
175822,Tockus fasciatus fasciatus,subspecies,Lophoceros fasciatus fasciatus,group (monotypic),Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303302,Tockus fasciatus semifasciatus,subspecies,Lophoceros fasciatus semifasciatus,group (monotypic),Bucerotiformes,Bucerotidae (Hornbills),taxonomy
302528,Tockus flavirostris,species,Tockus flavirostris,species,Bucerotiformes,Bucerotidae (Hornbills),
1303305,Tockus flavirostris flavirostris,subspecies,Tockus flavirostris,species,Bucerotiformes,Bucerotidae (Hornbills),split
1303304,Tockus flavirostris somaliensis,subspecies,Tockus flavirostris,species,Bucerotiformes,Bucerotidae (Hornbills),split
1303307,Tockus hartlaubi,species,Horizocerus hartlaubi,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303308,Tockus hartlaubi granti,subspecies,Horizocerus hartlaubi granti,group (monotypic),Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303309,Tockus hartlaubi hartlaubi,subspecies,Horizocerus hartlaubi hartlaubi,group (monotypic),Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303311,Tockus hemprichii,species,Lophoceros hemprichii,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303313,Tockus jacksoni,species,Tockus jacksoni,species,Bucerotiformes,Bucerotidae (Hornbills),
153645,Tockus leucomelas,species,Tockus leucomelas,species,Bucerotiformes,Bucerotidae (Hornbills),
1303322,Tockus leucomelas elegans,subspecies,Tockus leucomelas elegans,subspecies,Bucerotiformes,Bucerotidae (Hornbills),
1303321,Tockus leucomelas parvior,subspecies,Tockus leucomelas,species,Bucerotiformes,Bucerotidae (Hornbills),split
153646,Tockus monteiri,species,Tockus monteiri,species,Bucerotiformes,Bucerotidae (Hornbills),
1303323,Tockus monteiri majoriae,subspecies,Tockus monteiri,species,Bucerotiformes,Bucerotidae (Hornbills),split
118205,Tockus nasutus,species,Lophoceros nasutus,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303325,Tockus nasutus dorsalis,subspecies,Lophoceros nasutus epirhinus,subspecies,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303324,Tockus nasutus epirhinus,subspecies,Lophoceros nasutus epirhinus,subspecies,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303326,Tockus nasutus nasutus,subspecies,Lophoceros nasutus nasutus,subspecies,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1162390,Tockus pallidirostris,species,Lophoceros pallidirostris,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303327,Tockus pallidirostris neumanni,subspecies,Lophoceros pallidirostris neumanni,subspecies,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303328,Tockus pallidirostris pallidirostris,subspecies,Lophoceros pallidirostris pallidirostris,subspecies,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
1303329,Tockus ruahae,species,Tockus ruahae,species,Bucerotiformes,Bucerotidae (Hornbills),
1303330,Tockus rufirostris,species,Tockus rufirostris,species,Bucerotiformes,Bucerotidae (Hornbills),
2231572,Todiramphus albicilla,species,Todiramphus albicilla,species,Coraciiformes,Alcedinidae (Kingfishers),
2231573,Todiramphus albonotatus,species,Todiramphus albonotatus,species,Coraciiformes,Alcedinidae (Kingfishers),
2231574,Todiramphus australasia,species,Todiramphus australasia,species,Coraciiformes,Alcedinidae (Kingfishers),
325347,Todiramphus chloris,species,Todiramphus chloris,species,Coraciiformes,Alcedinidae (Kingfishers),
1651260,Todiramphus chloris alberti,subspecies,Todiramphus tristrami alberti,group (monotypic),Coraciiformes,Alcedinidae (Kingfishers),taxonomy
