GenBank_taxid,GenBank_name,GenBank_group,eBirdClements2023_Names,eBird_Group,reason,person,notes
40822,Antigone canadensis rowani,subspecies,Antigone canadensis rowani,subspecies,,,
40821,Antigone canadensis tabida,subspecies,Antigone canadensis tabida,subspecies,,,
2717061,Antigone rubicunda,species,Antigone rubicunda,species,,,
2717088,Antigone vipio,species,Antigone vipio,species,,,
761976,Antilophia bokermanni,species,Antilophia bokermanni,species,,,
208054,Antilophia galeata,species,Antilophia galeata,species,,,
1963915,Antrostomus arizonae,species,Antrostomus arizonae,species,,,
279965,Antrostomus carolinensis,species,Antrostomus carolinensis,species,,,
1854011,Antrostomus ridgwayi,species,Antrostomus ridgwayi,species,,,
723191,Antrostomus rufus,species,Antrostomus rufus,species,,,
723194,Antrostomus salvini,species,Antrostomus salvini,species,,,
723195,Antrostomus saturatus,species,Antrostomus saturatus,species,,,
190662,Antrostomus sericocaudatus,species,Antrostomus sericocaudatus,species,,,
57400,Antrostomus vociferus,species,Antrostomus vociferus,species,,,
183171,Anumbius annumbi,species,Anumbius annumbi,species,,,
932683,Apalharpactes mackloti,species,Apalharpactes mackloti,species,,,
483063,Apalis alticola,species,Apalis alticola,species,,,
483066,Apalis alticola alticola,subspecies,Apalis alticola alticola,subspecies,,,
483056,Apalis argentea,species,Apalis argentea,species,,,
483057,Apalis bamendae,species,Apalis bamendae,species,,,
483051,Apalis binotata,species,Apalis binotata,species,,,
483060,Apalis chapini,species,Apalis chapini,species,,,
483050,Apalis chariessa,species,Apalis chariessa,species,,,
483062,Apalis chirindensis,species,Apalis chirindensis,species,,,
405067,Apalis cinerea,species,Apalis cinerea,species,,,
483509,Apalis cinerea cinerea,subspecies,Apalis cinerea cinerea,subspecies,,,
208067,Apalis flavida,species,Apalis flavida,species,,,
331014,Apalis flavida caniceps,subspecies,Apalis flavida caniceps,subspecies,,,
908302,Apalis flavida florisuga,subspecies,Apalis flavida florisuga,subspecies,,,
315541,Apalis goslingi,species,Apalis goslingi,species,,,
405068,Apalis jacksoni,species,Apalis jacksoni,species,,,
483510,Apalis jacksoni jacksoni,subspecies,Apalis jacksoni jacksoni,subspecies,,,
483059,Apalis kaboboensis,species,Apalis kaboboensis,species,,,
483064,Apalis karamojae,species,Apalis karamojae,species,,,
483061,Apalis melanocephala,species,Apalis melanocephala,species,,,
483067,Apalis melanocephala melanocephala,subspecies,Apalis melanocephala melanocephala,subspecies,,,
483049,Apalis nigriceps,species,Apalis nigriceps,species,,,
483052,Apalis personata,species,Apalis personata,species,,,
483058,Apalis porphyrolaema,species,Apalis porphyrolaema,species,,,
483068,Apalis porphyrolaema porphyrolaema,subspecies,Apalis porphyrolaema porphyrolaema,subspecies,,,
483054,Apalis ruddi,species,Apalis ruddi,species,,,
405070,Apalis rufogularis,species,Apalis rufogularis,species,,,
483512,Apalis rufogularis nigrescens,subspecies,Apalis rufogularis nigrescens,subspecies,,,
483055,Apalis sharpii,species,Apalis sharpii,species,,,
330756,Apalis thoracica,species,Apalis thoracica,species,,,
483069,Apalis thoracica flaviventris,subspecies,Apalis thoracica flaviventris,subspecies,,,
1273586,Apalis thoracica griseiceps,subspecies,Apalis thoracica griseiceps,subspecies,,,
520022,Apaloderma aequatoriale,species,Apaloderma aequatoriale,species,,,
59407,Apaloderma narina,species,Apaloderma narina,species,,,
57397,Apaloderma vittatum,species,Apaloderma vittatum,species,,,
43155,Apalopteron familiare,species,Apalopteron familiare,species,,,
528334,Apalopteron familiare hahasima,subspecies,Apalopteron familiare hahasima,subspecies,,,
183535,Aphanotriccus audax,species,Aphanotriccus audax,species,,,
2338453,Aphanotriccus capitalis,species,Aphanotriccus capitalis,species,,,
